Rank,ADP,Name,POS,AB,Z_R,Z_HR,Z_RBI,Z_SB,Z_BB,Z_AVG,Z_SLG,IP,Z_K,Z_QS,Z_W,Z_SV,Z_HLD,Z_ERA,Z_WHIP,$
1,1.7,Ronald Acuna Jr.,OF,549.0,3.076,1.978,1.68,4.018,1.419,3.332,3.215,,,,,,,,,27.54
2,4.3,Juan Soto,OF,508.0,2.251,2.251,2.059,0.156,4.441,1.311,2.89,,,,,,,,,22.6
3,15.5,Yordan Alvarez,OF,503.0,1.603,2.347,2.469,-0.916,1.62,2.265,3.39,,,,,,,,,18.8
4,10.0,Shohei Ohtani,DH,532.0,2.025,2.251,1.873,0.987,2.203,0.749,2.689,,,,,,,,,18.8
5,14.8,Aaron Judge,OF,503.0,1.884,2.95,1.898,-0.249,2.508,0.581,2.89,,,,,,,,,18.34
6,7.5,Kyle Tucker,OF,559.0,1.486,1.608,2.078,1.72,1.188,1.479,1.813,,,,,,,,,16.73
7,11.2,Matt Olson,1B,543.0,1.97,2.58,2.527,-0.927,2.124,0.525,2.389,,,,,,,,,16.46
8,3.8,Mookie Betts,2B/OF,571.0,2.624,1.553,1.244,0.506,1.766,1.142,1.914,,,,,,,,,15.82
9,25.5,Bryce Harper,1B,501.0,0.991,1.211,1.436,0.243,2.045,1.535,1.989,,,,,,,,,13.9
10,7.9,Freddie Freeman,1B,556.0,1.529,0.595,1.558,0.353,1.364,2.321,1.663,,,,,,,,,13.81
11,22.8,Julio Rodriguez,OF,579.0,1.584,1.499,1.186,2.234,-0.083,1.199,1.763,,,,,,,,,13.8
12,22.0,Fernando Tatis Jr.,OF,555.0,1.535,1.745,1.058,1.666,0.531,0.974,1.813,,,,,,,,,13.72
13,7.5,Spencer Strider,SP,,,,,,,,,169.4,2.706,1.379,1.751,0.0,0.0,-0.542,-0.57,13.6
14,23.7,Rafael Devers,3B,567.0,1.694,1.882,1.783,-0.544,0.556,1.423,2.039,,,,,,,,,13.0
15,16.3,Bobby Witt Jr.,SS,589.0,1.419,1.156,1.129,3.35,-0.636,1.03,1.263,,,,,,,,,12.82
16,10.3,Jose Ramirez,3B,559.0,1.285,0.842,1.045,1.436,1.188,1.255,1.513,,,,,,,,,12.6
17,34.4,Austin Riley,3B,573.0,1.444,1.896,2.495,-0.796,0.306,0.918,1.663,,,,,,,,,11.66
18,34.4,Framber Valdez,SP,,,,,,,,,187.9,1.415,1.772,2.137,0.0,0.0,-0.408,-0.106,11.43
19,13.6,Corbin Carroll,OF,561.0,1.431,0.431,0.404,3.219,0.61,0.693,0.587,,,,,,,,,10.85
20,28.6,Vladimir Guerrero Jr.,1B,555.0,1.156,1.266,1.616,-0.369,0.963,1.142,1.413,,,,,,,,,10.58
21,33.8,Corey Seager,SS,502.0,1.205,1.102,0.911,-0.741,0.282,1.984,2.364,,,,,,,,,10.46
22,54.3,Kyle Schwarber,OF,539.0,1.927,2.484,1.013,-0.457,3.006,-2.057,0.737,,,,,,,,,9.79
23,22.7,Kevin Gausman,SP,,,,,,,,,175.8,1.73,1.313,1.194,0.0,0.0,-0.388,-0.354,9.74
24,35.3,Pete Alonso,1B,541.0,0.979,2.457,2.135,-0.654,0.756,-0.654,1.513,,,,,,,,,9.61
25,16.7,Zack Wheeler,SP,,,,,,,,,184.8,1.161,1.575,1.408,0.0,0.0,-0.315,-0.323,9.36
26,20.9,Luis Castillo,SP,,,,,,,,,184.8,1.507,1.313,1.365,0.0,0.0,-0.161,-0.168,8.83
27,29.9,Pablo Lopez,SP,,,,,,,,,175.2,1.427,1.28,1.065,0.0,0.0,-0.401,-0.292,8.74
28,36.5,Aaron Nola,SP,,,,,,,,,184.8,1.283,1.379,1.322,0.0,0.0,-0.148,-0.323,8.72
29,28.6,Zac Gallen,SP,,,,,,,,,184.8,1.36,1.346,1.322,0.0,0.0,-0.154,-0.137,8.45
30,38.8,George Kirby,SP,,,,,,,,,184.8,0.98,1.346,1.365,0.0,0.0,-0.181,-0.384,8.33
31,30.5,Ozzie Albies,2B,565.0,1.272,0.814,1.27,0.265,-0.423,1.03,1.063,,,,,,,,,7.79
32,42.9,Gunnar Henderson,SS/3B,574.0,1.462,0.937,0.872,0.134,0.926,0.02,0.813,,,,,,,,,7.6
33,55.1,Logan Gilbert,SP,,,,,,,,,184.8,1.158,1.149,1.28,0.0,0.0,-0.014,-0.261,7.56
34,59.8,Paul Goldschmidt,1B,555.0,1.248,0.732,0.763,-0.205,1.699,0.469,0.412,,,,,,,,,7.53
35,75.4,Mike Trout,OF,492.0,0.759,1.581,1.09,-0.763,0.89,-0.093,1.613,,,,,,,,,7.47
36,19.0,Corbin Burnes,SP,,,,,,,,,175.2,1.133,1.117,1.022,0.0,0.0,-0.208,-0.261,7.32
37,25.7,Marcus Semien,2B,591.0,1.713,0.787,0.564,0.626,0.464,0.356,0.337,,,,,,,,,7.13
38,31.1,Logan Webb,SP,,,,,,,,,181.8,0.503,1.444,1.151,0.0,0.0,-0.361,-0.137,7.04
39,91.8,Jhoan Duran,RP,,,,,,,,,61.6,1.397,0.0,0.993,1.431,-1.194,-0.54,-0.403,6.99
40,53.9,Max Fried,SP,,,,,,,,,168.2,0.405,1.051,1.622,0.0,0.0,-0.288,-0.075,6.73
41,42.3,Jose Altuve,2B,544.0,1.584,0.404,0.244,0.561,0.695,0.693,0.362,,,,,,,,,6.68
42,51.1,Manny Machado,3B,551.0,0.575,1.197,1.36,-0.446,0.324,0.469,0.813,,,,,,,,,6.32
43,44.7,Alex Bregman,3B,552.0,1.382,0.362,0.872,-0.73,1.851,0.3,0.212,,,,,,,,,6.25
44,196.1,Jose Alvarado,RP,,,,,,,,,64.8,1.315,0.0,1.238,-0.257,0.706,-0.28,0.098,6.23
45,136.4,Triston Casas,1B,483.0,0.533,0.869,0.879,-0.84,1.857,-0.036,0.913,,,,,,,,,6.14
46,68.4,Bo Bichette,SS,587.0,1.04,0.39,0.84,0.167,-0.898,1.76,0.863,,,,,,,,,6.12
