Rank,Tier,Rnd,Player,Pos,YDS,YPC,RUSH,REC,TD,YPR,REC/TAR Game,Team,Bye,ESPN,Rank-ADP,Link
174,11,15.5,Justin Tucker,K,,0.0,,,,0.0,,BAL,13.0,71.0,103.0,https://www.4for4.com/player/justin-tucker
194,12,17.17,Harrison Butker,K,,0.0,,,,0.0,,KC,10.0,105.0,89.0,https://www.4for4.com/player/harrison-butker
207,13,18.33,Tyler Bass,K,,0.0,,,,0.0,,BUF,13.0,133.0,74.0,https://www.4for4.com/player/tyler-bass
211,13,18.67,Daniel Carlson,K,,0.0,,,,0.0,,LV,13.0,103.0,108.0,https://www.4for4.com/player/daniel-carlson
225,13,19.92,Evan McPherson,K,,,,,,,,CIN,7.0,96.0,129.0,https://www.4for4.com/player/evan-mcpherson
230,13,20.42,Younghoe Koo,K,,0.0,,,,0.0,,ATL,11.0,147.0,83.0,https://www.4for4.com/player/younghoe-koo
236,13,20.92,Nick Folk,K,,0.0,,,,0.0,,NE,11.0,252.0,-16.0,https://www.4for4.com/player/nick-folk
243,14,21.5,Jason Sanders,K,,0.0,,,,0.0,,MIA,10.0,,,https://www.4for4.com/player/jason-sanders
253,14,22.33,Brandon Aubrey,K,,,,,,,,DAL,7.0,233.0,20.0,https://www.4for4.com/player/brandon-aubrey
256,15,22.58,Brandon McManus,K,,0.0,,,,0.0,,JAC,9.0,224.0,32.0,https://www.4for4.com/player/brandon-mcmanus
263,15,23.17,Jason Myers,K,,0.0,,,,0.0,,SEA,5.0,143.0,120.0,https://www.4for4.com/player/jason-myers
268,15,23.75,Jake Elliott,K,,0.0,,,,0.0,,PHI,10.0,138.0,130.0,https://www.4for4.com/player/jake-elliott
272,15,24.17,Matt Gay,K,,0.0,,,,0.0,,IND,11.0,163.0,109.0,https://www.4for4.com/player/matt-gay
281,15,25.08,Greg Joseph,K,,0.0,,,,0.0,,MIN,13.0,234.0,47.0,https://www.4for4.com/player/greg-joseph
283,15,25.33,Greg Zuerlein,K,,0.0,,,,0.0,,NYJ,7.0,180.0,103.0,https://www.4for4.com/player/greg-zuerlein
284,15,25.42,Graham Gano,K,,0.0,,,,0.0,,NYG,13.0,128.0,156.0,https://www.4for4.com/player/graham-gano
289,15,25.92,Cameron Dicker,K,,,,,,,,LAC,5.0,175.0,114.0,https://www.4for4.com/player/cameron-dicker
295,15,26.5,Jake Moody,K,,,,,,,,SF,9.0,198.0,97.0,https://www.4for4.com/player/jake-moody
296,15,26.58,Matt Prater,K,,0.0,,,,0.0,,ARI,14.0,241.0,55.0,https://www.4for4.com/player/matt-prater
302,15,27.17,Joey Slye,K,,0.0,,,,0.0,,WAS,14.0,268.0,34.0,https://www.4for4.com/player/joey-slye
306,15,27.58,Brett Maher,K,,0.0,,,,0.0,,DEN,9.0,164.0,142.0,https://www.4for4.com/player/brett-maher
307,15,27.75,Wil Lutz,K,,0.0,,,,0.0,,NO,11.0,222.0,85.0,https://www.4for4.com/player/wil-lutz
309,15,28.08,Riley Patterson,K,,,,,,,,DET,9.0,,,https://www.4for4.com/player/riley-patterson
321,16,29.33,Dustin Hopkins,K,,0.0,,,,0.0,,LAC,5.0,270.0,51.0,https://www.4for4.com/player/dustin-hopkins
326,17,29.83,Chris Boswell,K,,0.0,,,,0.0,,PIT,6.0,201.0,125.0,https://www.4for4.com/player/chris-boswell
328,17,30.25,Cade York,K,,,,,,,,CLE,5.0,255.0,73.0,https://www.4for4.com/player/cade-york
330,17,30.5,Cairo Santos,K,,0.0,,,,0.0,,CHI,13.0,227.0,103.0,https://www.4for4.com/player/cairo-santos
333,17,31.0,Eddy Pineiro,K,,0.0,,,,0.0,,CAR,7.0,213.0,120.0,https://www.4for4.com/player/eddy-pineiro
334,17,31.08,Chase McLaughlin,K,,0.0,,,,0.0,,TB,5.0,282.0,52.0,https://www.4for4.com/player/chase-mclaughlin
335,17,31.17,Ka'imi Fairbairn,K,,0.0,,,,0.0,,HOU,7.0,,,https://www.4for4.com/player/ka'imi-fairbairn
337,17,31.5,Anders Carlson,K,,,,,,,,GB,6.0,238.0,99.0,https://www.4for4.com/player/anders-carlson
351,19,33.42,Tanner Brown,K,,,,,,,,LAR,10.0,287.0,64.0,https://www.4for4.com/player/tanner-brown
