Rank,Tier,Rnd,Player,Pos,YDS,YPC,RUSH,REC,TD,YPR,REC/TAR Game,Team,Bye,ESPN,Rank-ADP,Link,TE_Rank
7,1,1.58,Travis Kelce,TE,1343.0,2.5,2.0,110.0,12.0,12.2,6.5/8.9,KC,10.0,5.0,2.0,https://www.4for4.com/player/travis-kelce,1
30,3,3.5,Mark Andrews,TE,855.0,2.7,3.0,73.0,5.0,11.6,4.9/7.5,BAL,13.0,30.0,0.0,https://www.4for4.com/player/mark-andrews,2
37,3,4.08,T.J. Hockenson,TE,914.0,0.0,,86.0,6.0,10.6,5.1/7.6,MIN,13.0,41.0,-4.0,https://www.4for4.com/player/t.j.-hockenson,3
53,5,5.42,Dallas Goedert,TE,702.0,0.0,,55.0,3.0,12.8,4.6/5.8,PHI,10.0,61.0,-8.0,https://www.4for4.com/player/dallas-goedert,4
59,5,5.92,George Kittle,TE,765.0,0.0,,60.0,11.0,12.8,4.0/5.7,SF,9.0,48.0,11.0,https://www.4for4.com/player/george-kittle,5
62,5,6.17,Darren Waller,TE,388.0,0.0,,28.0,3.0,13.9,3.1/4.8,NYG,13.0,44.0,18.0,https://www.4for4.com/player/darren-waller,6
64,5,6.33,Kyle Pitts,TE,356.0,0.0,,28.0,2.0,12.7,2.8/5.9,ATL,11.0,59.0,5.0,https://www.4for4.com/player/kyle-pitts,7
87,6,8.25,Evan Engram,TE,779.0,6.5,2.0,73.0,4.0,10.5,4.3/5.8,JAC,9.0,74.0,13.0,https://www.4for4.com/player/evan-engram,8
93,7,8.75,Pat Freiermuth,TE,732.0,0.0,,63.0,2.0,11.6,3.9/6.1,PIT,6.0,81.0,12.0,https://www.4for4.com/player/pat-freiermuth,9
104,7,9.67,David Njoku,TE,620.0,-4.0,2.0,58.0,4.0,10.8,4.1/5.7,CLE,5.0,92.0,12.0,https://www.4for4.com/player/david-njoku,10
121,8,11.08,Dalton Schultz,TE,577.0,0.0,,57.0,5.0,10.1,3.8/5.9,HOU,7.0,115.0,6.0,https://www.4for4.com/player/dalton-schultz,11
122,9,11.17,Cole Kmet,TE,553.0,4.5,2.0,50.0,7.0,10.9,2.9/4.1,CHI,13.0,108.0,14.0,https://www.4for4.com/player/cole-kmet,12
123,9,11.25,Tyler Higbee,TE,620.0,0.0,,72.0,3.0,8.6,4.2/6.4,LAR,10.0,121.0,2.0,https://www.4for4.com/player/tyler-higbee,13
129,9,11.75,Chigoziem Okonkwo,TE,452.0,0.7,3.0,32.0,3.0,14.1,1.9/2.7,TEN,7.0,160.0,-31.0,https://www.4for4.com/player/chigoziem-okonkwo,14
130,9,11.83,Juwan Johnson,TE,508.0,0.0,,42.0,7.0,12.1,2.6/4.1,NO,11.0,194.0,-64.0,https://www.4for4.com/player/juwan-johnson,15
141,9,12.75,Dalton Kincaid,TE,,,,,,,,BUF,13.0,140.0,1.0,https://www.4for4.com/player/dalton-kincaid,16
152,10,13.67,Greg Dulcich,TE,411.0,0.0,,33.0,2.0,12.5,3.3/5.5,DEN,9.0,161.0,-9.0,https://www.4for4.com/player/greg-dulcich,17
154,10,13.83,Sam Laporta,TE,,,,,,,,DET,9.0,177.0,-23.0,https://www.4for4.com/player/sam-laporta,18
161,10,14.42,Gerald Everett,TE,555.0,0.0,1.0,58.0,4.0,9.6,3.6/5.4,LAC,5.0,158.0,3.0,https://www.4for4.com/player/gerald-everett,19
166,11,14.83,Dawson Knox,TE,517.0,0.0,,48.0,6.0,10.8,3.2/4.3,BUF,13.0,190.0,-24.0,https://www.4for4.com/player/dawson-knox,20
175,11,15.58,Noah Fant,TE,486.0,0.0,,50.0,4.0,9.7,2.9/3.7,SEA,5.0,301.0,-126.0,https://www.4for4.com/player/noah-fant,21
176,11,15.67,Mike Gesicki,TE,362.0,0.0,,32.0,5.0,11.3,1.9/3.1,NE,11.0,195.0,-19.0,https://www.4for4.com/player/mike-gesicki,22
