Rank,ADP,Name,POS,AB,Z_R,Z_HR,Z_RBI,Z_SB,Z_BB,Z_AVG,Z_SLG,IP,Z_K,Z_QS,Z_W,Z_SV,Z_HLD,Z_ERA,Z_WHIP,$
1,1.4,Shohei Ohtani,DH,571.0,2.481,3.026,1.972,2.76,2.133,1.485,3.474,,,,,,,,,15.6
2,3.2,Aaron Judge,OF,501.0,1.954,3.232,2.077,-0.181,3.069,1.187,3.757,,,,,,,,,13.59
3,4.0,Juan Soto,OF,529.0,2.189,2.032,1.547,-0.023,4.23,1.485,2.555,,,,,,,,,12.61
4,4.0,Bobby Witt Jr.,SS,588.0,1.735,1.62,1.517,2.794,0.406,2.229,2.437,,,,,,,,,11.46
5,12.3,Yordan Alvarez,OF,505.0,1.584,2.202,1.703,-0.634,1.582,2.577,3.309,,,,,,,,,11.09
6,11.1,Vladimir Guerrero Jr.,1B,564.0,1.698,1.911,1.766,-0.487,1.372,2.329,2.743,,,,,,,,,10.2
7,5.4,Jose Ramirez,3B,561.0,1.211,1.559,1.644,2.262,0.948,1.435,2.154,,,,,,,,,10.09
8,35.2,Elly De La Cruz,SS,573.0,1.24,1.184,1.244,4.955,1.031,0.244,1.211,,,,,,,,,10.0
9,15.5,Corbin Carroll,OF,572.0,1.718,1.05,0.945,3.416,1.475,0.641,1.117,,,,,,,,,9.33
10,18.5,Fernando Tatis Jr.,OF,539.0,1.495,2.08,1.387,0.905,0.602,1.336,2.484,,,,,,,,,9.26
11,6.7,Mookie Betts,SS/OF,549.0,1.852,1.341,1.231,0.599,1.733,1.435,2.036,,,,,,,,,9.2
12,9.6,Kyle Tucker,OF,532.0,1.341,1.523,1.206,1.21,1.787,1.336,1.706,,,,,,,,,9.1
13,15.1,Gunnar Henderson,SS,520.0,1.653,1.668,1.105,0.735,1.265,1.187,2.343,,,,,,,,,8.96
14,29.9,Bryce Harper,1B,530.0,1.402,1.511,1.404,0.102,2.089,1.485,1.942,,,,,,,,,8.94
15,18.9,Freddie Freeman,1B,559.0,1.455,0.917,1.475,0.158,1.567,1.882,1.612,,,,,,,,,8.16
16,37.5,Ronald Acuna Jr.,OF,405.0,0.939,0.614,0.259,1.957,0.694,2.13,2.083,,,,,,,,,7.81
17,49.0,Julio Rodriguez,OF,577.0,1.24,1.426,1.05,1.934,0.348,1.237,1.282,,,,,,,,,7.67
18,40.9,Jackson Chourio,OF,604.0,1.365,1.39,1.13,1.957,0.441,0.939,1.094,,,,,,,,,7.48
19,21.4,Ketel Marte,2B,571.0,1.637,1.22,1.097,-0.125,1.465,1.336,1.376,,,,,,,,,7.21
20,31.3,Rafael Devers,3B,545.0,1.39,1.693,1.412,-0.622,1.192,0.989,1.848,,,,,,,,,7.11
21,39.2,Corey Seager,SS,481.0,1.223,1.414,0.987,-0.747,0.84,1.683,2.319,,,,,,,,,6.95
22,15.8,Francisco Lindor,SS,586.0,1.584,1.208,1.038,1.527,1.04,0.393,0.693,,,,,,,,,6.73
23,14.3,Zack Wheeler,SP,,,,,,,,,184.8,1.492,1.472,1.733,0.0,0.0,-0.381,-0.413,6.51
24,93.3,Jazz Chisholm Jr.,3B/OF,531.0,1.0,1.365,0.962,2.726,0.475,-0.153,0.834,,,,,,,,,6.49
25,120.3,Jazz Chisholm Jr.,3B/OF,531.0,1.0,1.365,0.962,2.726,0.475,-0.153,0.834,,,,,,,,,6.49
26,86.7,Kyle Schwarber,DH,507.0,1.495,2.311,1.13,-0.464,2.518,-1.145,1.164,,,,,,,,,6.31
27,97.0,Michael Harris II,OF,543.0,0.968,0.881,1.092,1.018,-0.228,1.882,1.4,,,,,,,,,6.31
28,46.1,Matt Olson,1B,542.0,1.195,1.826,1.724,-0.95,1.767,0.046,1.259,,,,,,,,,6.18
29,10.7,Paul Skenes,SP,,,,,,,,,163.5,1.728,1.328,0.656,0.0,0.0,-0.72,-0.599,5.97
30,56.6,Austin Riley,3B,553.0,1.187,1.571,1.58,-0.803,0.616,0.889,1.494,,,,,,,,,5.88
31,9.7,Tarik Skubal,SP,,,,,,,,,169.9,1.514,1.352,0.848,0.0,0.0,-0.622,-0.625,5.88
32,44.1,Jackson Merrill,OF,579.0,0.943,0.929,1.429,0.486,-0.101,1.386,1.4,,,,,,,,,5.82
33,50.0,Jarren Duran,OF,587.0,1.382,0.275,0.625,2.296,0.504,0.691,0.599,,,,,,,,,5.73
34,44.1,Trea Turner,SS,578.0,1.223,0.626,0.789,1.493,-0.003,1.386,0.74,,,,,,,,,5.63
35,20.5,Logan Gilbert,SP,,,,,,,,,184.8,1.446,1.256,1.348,0.0,0.0,-0.254,-0.44,5.62
36,101.0,Marcell Ozuna,DH,545.0,1.025,1.765,1.576,-0.894,0.909,0.542,1.306,,,,,,,,,5.61
37,148.9,Oneil Cruz,SS/OF,556.0,0.854,1.123,1.109,1.097,0.84,0.294,0.905,,,,,,,,,5.6
