Rank,ADP,Name,POS,AB,Z_R,Z_HR,Z_RBI,Z_SB,Z_BB,Z_AVG,Z_SLG,IP,Z_K,Z_QS,Z_W,Z_SV,Z_HLD,Z_ERA,Z_WHIP,$
1,1.4,Shohei Ohtani,DH,571.0,2.482,3.031,1.975,2.803,2.127,1.489,3.473,,,,,,,,,26.32
2,3.2,Aaron Judge,OF,501.0,1.955,3.237,2.08,-0.171,3.061,1.191,3.755,,,,,,,,,22.88
3,4.0,Juan Soto,OF,529.0,2.19,2.037,1.551,-0.011,4.218,1.489,2.555,,,,,,,,,21.24
4,4.0,Bobby Witt Jr.,SS,588.0,1.737,1.625,1.521,2.837,0.406,2.233,2.438,,,,,,,,,19.38
5,12.3,Yordan Alvarez,OF,505.0,1.587,2.207,1.706,-0.628,1.578,2.58,3.308,,,,,,,,,18.68
6,11.1,Vladimir Guerrero Jr.,1B,564.0,1.7,1.916,1.769,-0.479,1.368,2.332,2.744,,,,,,,,,17.19
7,5.4,Jose Ramirez,3B,561.0,1.214,1.564,1.647,2.3,0.945,1.439,2.155,,,,,,,,,17.06
8,35.2,Elly De La Cruz,SS,573.0,1.242,1.189,1.248,5.021,1.028,0.248,1.214,,,,,,,,,16.94
9,15.5,Corbin Carroll,OF,572.0,1.72,1.056,0.95,3.466,1.471,0.645,1.12,,,,,,,,,15.79
10,18.5,Fernando Tatis Jr.,OF,539.0,1.498,2.086,1.391,0.927,0.6,1.34,2.485,,,,,,,,,15.64
11,6.7,Mookie Betts,SS/OF,549.0,1.854,1.346,1.235,0.618,1.728,1.439,2.038,,,,,,,,,15.53
12,9.6,Kyle Tucker,OF,532.0,1.344,1.528,1.21,1.236,1.782,1.34,1.708,,,,,,,,,15.37
13,15.1,Gunnar Henderson,SS,520.0,1.655,1.674,1.109,0.756,1.261,1.191,2.344,,,,,,,,,15.13
14,29.9,Bryce Harper,1B,530.0,1.404,1.516,1.408,0.115,2.083,1.489,1.944,,,,,,,,,15.08
15,18.9,Freddie Freeman,1B,559.0,1.457,0.922,1.479,0.172,1.563,1.885,1.614,,,,,,,,,13.77
16,37.5,Ronald Acuna Jr.,OF,405.0,0.943,0.619,0.265,1.991,0.693,2.134,2.085,,,,,,,,,13.22
17,49.0,Julio Rodriguez,OF,577.0,1.242,1.431,1.055,1.968,0.347,1.24,1.285,,,,,,,,,12.97
18,40.9,Jackson Chourio,OF,604.0,1.368,1.395,1.135,1.991,0.44,0.943,1.097,,,,,,,,,12.67
19,21.4,Ketel Marte,2B,571.0,1.639,1.225,1.101,-0.114,1.461,1.34,1.379,,,,,,,,,12.16
20,31.3,Rafael Devers,3B,545.0,1.392,1.698,1.416,-0.617,1.189,0.992,1.85,,,,,,,,,11.99
21,39.2,Corey Seager,SS,481.0,1.226,1.419,0.992,-0.743,0.838,1.687,2.32,,,,,,,,,11.72
22,15.8,Francisco Lindor,SS,586.0,1.587,1.213,1.042,1.556,1.038,0.397,0.697,,,,,,,,,11.4
23,93.3,Jazz Chisholm Jr.,3B/OF,531.0,1.003,1.371,0.966,2.768,0.474,-0.149,0.838,,,,,,,,,11.01
24,14.3,Zack Wheeler,SP,,,,,,,,,184.8,1.493,1.471,1.738,0.0,0.0,-0.379,-0.411,10.98
25,97.0,Michael Harris II,OF,543.0,0.971,0.886,1.097,1.042,-0.227,1.885,1.403,,,,,,,,,10.69
26,86.7,Kyle Schwarber,DH,507.0,1.498,2.316,1.135,-0.457,2.511,-1.141,1.167,,,,,,,,,10.64
27,46.1,Matt Olson,1B,542.0,1.198,1.831,1.727,-0.948,1.762,0.05,1.261,,,,,,,,,10.42
28,10.7,Paul Skenes,SP,,,,,,,,,163.5,1.731,1.326,0.649,0.0,0.0,-0.718,-0.596,10.04
29,56.6,Austin Riley,3B,553.0,1.19,1.577,1.584,-0.8,0.615,0.893,1.497,,,,,,,,,9.93
30,9.7,Tarik Skubal,SP,,,,,,,,,169.9,1.515,1.35,0.843,0.0,0.0,-0.62,-0.623,9.9
31,44.1,Jackson Merrill,OF,579.0,0.947,0.934,1.433,0.504,-0.1,1.389,1.403,,,,,,,,,9.86
32,50.0,Jarren Duran,OF,587.0,1.384,0.28,0.63,2.334,0.503,0.695,0.603,,,,,,,,,9.74
33,44.1,Trea Turner,SS,578.0,1.226,0.631,0.794,1.522,-0.003,1.389,0.744,,,,,,,,,9.54
34,148.9,Oneil Cruz,SS/OF,556.0,0.857,1.128,1.114,1.122,0.838,0.298,0.908,,,,,,,,,9.49
35,20.5,Logan Gilbert,SP,,,,,,,,,184.8,1.446,1.253,1.349,0.0,0.0,-0.253,-0.438,9.48
36,101.0,Marcell Ozuna,DH,545.0,1.028,1.77,1.58,-0.891,0.906,0.546,1.308,,,,,,,,,9.46
37,33.2,Cole Ragans,SP,,,,,,,,,178.6,1.633,1.326,1.193,0.0,0.0,-0.339,-0.2,9.38
38,48.0,Framber Valdez,SP,,,,,,,,,184.8,1.097,1.422,1.738,0.0,0.0,-0.327,-0.068,9.3
39,53.6,Pete Alonso,1B,549.0,1.145,2.182,1.723,-0.605,1.291,-0.645,1.05,,,,,,,,,9.3
40,23.9,Dylan Cease,SP,,,,,,,,,175.6,1.872,1.109,1.232,0.0,0.0,-0.293,-0.121,9.25
41,80.3,Wyatt Langford,OF,546.0,0.922,0.619,1.093,1.019,1.023,0.794,0.603,,,,,,,,,9.2
42,33.1,Manny Machado,3B,552.0,0.861,1.419,1.538,-0.239,0.464,0.794,1.167,,,,,,,,,9.09
43,151.1,James Wood,OF,526.0,0.821,0.571,0.79,1.053,1.393,0.546,0.697,,,,,,,,,8.89
44,29.7,William Contreras,C,521.0,0.89,0.801,0.903,-0.285,1.242,1.24,1.003,,,,,,,,,8.77
45,116.2,Teoscar Hernandez,OF,544.0,0.882,1.419,1.496,-0.114,0.221,0.496,1.261,,,,,,,,,8.57
46,180.0,Matt McLain,2B/SS,480.0,0.699,0.74,0.765,0.824,0.736,0.496,1.261,,,,,,,,,8.36
47,117.5,Brent Rooker,DH,548.0,1.198,1.783,1.252,-0.148,0.994,-0.496,0.932,,,,,,,,,8.35
48,26.3,Corbin Burnes,SP,,,,,,,,,178.6,1.102,1.157,1.427,0.0,0.0,-0.201,-0.253,8.28
49,48.3,Jose Altuve,2B,568.0,1.319,0.595,0.651,1.007,0.61,0.893,0.367,,,,,,,,,8.24
50,57.7,Pablo Lopez,SP,,,,,,,,,178.6,1.255,1.205,1.154,0.0,0.0,-0.264,-0.2,8.16
51,33.0,Chris Sale,SP,,,,,,,,,151.3,1.233,0.819,0.999,0.0,0.0,-0.494,-0.491,8.07
52,127.8,CJ Abrams,SS,539.0,0.89,0.45,0.416,3.009,-0.09,0.248,0.367,,,,,,,,,8.01
53,46.3,Alex Bregman,3B,553.0,1.076,0.789,1.139,-0.64,1.189,0.893,0.65,,,,,,,,,7.72
54,56.6,Aaron Nola,SP,,,,,,,,,181.7,1.043,1.109,1.465,0.0,0.0,-0.08,-0.148,7.69
55,111.2,Vinnie Pasquantino,1B,534.0,0.938,0.946,1.206,-0.811,0.877,0.943,0.955,,,,,,,,,7.65
56,203.9,Triston Casas,1B,503.0,0.861,1.298,1.168,-0.811,1.947,-0.248,0.814,,,,,,,,,7.62
57,61.0,Edwin Diaz,RP,,,,,,,,,64.8,1.496,0.0,1.008,1.986,-1.442,-0.343,-0.367,7.52
58,76.5,Josh Naylor,1B,559.0,0.841,0.922,1.328,-0.182,0.634,0.844,0.579,,,,,,,,,7.52
59,126.4,Christian Yelich,OF,473.0,0.529,0.086,0.387,1.396,1.432,0.844,0.25,,,,,,,,,7.46
60,83.4,Logan Webb,SP,,,,,,,,,184.8,0.574,1.374,1.349,0.0,0.0,-0.327,-0.095,7.44
61,53.8,Josh Hader,RP,,,,,,,,,64.8,1.608,0.0,1.008,1.986,-1.442,-0.231,-0.316,7.41
62,166.6,Yandy Diaz,1B,521.0,1.068,0.171,0.529,-0.743,1.009,1.985,0.767,,,,,,,,,7.25
63,39.1,Marcus Semien,2B,587.0,1.526,0.886,0.744,0.264,0.868,0.248,0.226,,,,,,,,,7.21
64,43.6,Blake Snell,SP,,,,,,,,,154.0,1.582,0.771,0.688,0.0,0.0,-0.344,-0.2,7.17
65,108.5,Bryan Reynolds,OF,574.0,1.165,0.85,0.756,-0.033,0.848,0.596,0.532,,,,,,,,,7.14
66,71.0,Luis Castillo,SP,,,,,,,,,178.6,1.154,1.012,1.038,0.0,0.0,-0.138,-0.148,6.98
67,105.6,Bailey Ober,SP,,,,,,,,,178.6,1.169,0.964,1.038,0.0,0.0,-0.029,-0.28,6.96
68,50.9,Steven Kwan,OF,525.0,1.06,-0.423,0.147,0.87,1.028,1.737,0.156,,,,,,,,,6.93
69,149.1,Riley Greene,OF,530.0,0.825,0.631,0.815,-0.331,1.164,0.893,0.532,,,,,,,,,6.86
70,99.2,Joe Ryan,SP,,,,,,,,,166.4,1.191,0.843,0.765,0.0,0.0,-0.184,-0.411,6.79
71,144.0,Junior Caminero,3B,533.0,0.736,1.249,1.168,-0.514,-0.056,0.744,1.144,,,,,,,,,6.77
72,112.5,Freddy Peralta,SP,,,,,,,,,169.4,1.473,0.867,0.765,0.0,0.0,-0.109,-0.121,6.67
73,63.0,Max Fried,SP,,,,,,,,,169.4,0.608,1.109,1.115,0.0,0.0,-0.31,-0.095,6.47
74,190.2,Bo Bichette,SS,551.0,0.797,0.389,0.92,0.138,-0.193,1.439,0.767,,,,,,,,,6.45
75,131.1,Seiya Suzuki,OF,503.0,0.618,0.595,0.748,0.355,1.038,0.397,0.508,,,,,,,,,6.45
76,160.4,Lawrence Butler,OF,531.0,0.943,0.837,0.664,0.984,0.318,0.099,0.414,,,,,,,,,6.45
77,120.9,Justin Steele,SP,,,,,,,,,172.5,0.788,1.036,0.999,0.0,0.0,-0.258,-0.121,6.4
78,136.2,Hunter Brown,SP,,,,,,,,,169.4,1.09,0.94,0.999,0.0,0.0,-0.172,0.011,6.38
79,105.3,Ian Happ,OF,545.0,1.04,0.619,0.626,0.31,1.777,-0.149,-0.009,,,,,,,,,6.38
80,113.1,Hunter Greene,SP,,,,,,,,,169.4,1.53,0.819,0.765,0.0,0.0,0.098,-0.148,6.33
81,37.1,Anthony Santander,OF,516.0,0.756,1.516,1.366,-0.743,0.488,-0.397,1.167,,,,,,,,,6.29
82,117.3,Christian Walker,1B,492.0,0.663,1.383,1.198,-0.491,0.79,-0.397,1.003,,,,,,,,,6.28
83,243.1,Griffin Jax,RP,,,,,,,,,64.8,0.733,0.0,0.731,-0.398,1.566,-0.242,-0.265,6.28
84,245.6,Cade Smith,RP,,,,,,,,,64.8,1.103,0.0,0.87,-0.875,1.566,-0.259,-0.215,6.28
85,89.2,Cody Bellinger,1B/OF,507.0,0.651,0.862,0.979,0.298,0.303,0.298,0.72,,,,,,,,,6.23
86,226.9,Luis Robert Jr.,OF,533.0,0.635,1.104,0.672,1.648,-0.256,-0.298,0.603,,,,,,,,,6.22
87,102.9,Felix Bautista,RP,,,,,,,,,56.7,1.092,0.0,0.593,1.509,-1.05,-0.494,-0.468,6.21
88,66.3,Mason Miller,RP,,,,,,,,,56.7,1.182,0.0,0.593,1.509,-1.442,-0.589,-0.62,6.1
89,244.0,Bryan Abreu,RP,,,,,,,,,64.8,1.176,0.0,0.87,-0.875,1.566,-0.153,-0.139,6.06
90,66.3,Ozzie Albies,2B,533.0,0.894,0.547,0.786,0.184,0.041,0.893,0.626,,,,,,,,,6.01
91,84.9,Sonny Gray,SP,,,,,,,,,159.5,0.835,0.819,0.765,0.0,0.0,-0.327,-0.253,6.0
92,118.6,Andres Munoz,RP,,,,,,,,,64.8,1.232,0.0,0.731,1.509,-1.05,-0.348,-0.215,5.97
93,117.8,Tanner Bibee,SP,,,,,,,,,172.5,1.08,0.891,0.726,0.0,0.0,-0.08,-0.174,5.9
94,259.3,Jeremiah Estrada,RP,,,,,,,,,64.8,1.311,0.0,0.731,-0.875,1.566,-0.175,-0.038,5.89
95,143.1,Spencer Schwellenbach,SP,,,,,,,,,166.4,0.599,0.795,1.31,0.0,0.0,-0.092,-0.148,5.89
96,48.2,Luis Arraez,1B/2B,608.0,1.376,-0.702,0.336,-0.102,0.021,2.828,0.132,,,,,,,,,5.89
97,58.1,Yoshinobu Yamamoto,SP,,,,,,,,,157.7,0.741,0.747,0.96,0.0,0.0,-0.281,-0.2,5.86
98,28.1,Garrett Crochet,SP,,,,,,,,,140.3,1.107,0.698,0.065,0.0,0.0,-0.534,-0.517,5.84
99,193.5,Reynaldo Lopez,SP,,,,,,,,,166.3,0.975,0.723,1.154,0.0,0.0,-0.023,-0.042,5.83
100,102.2,Bryce Miller,SP,,,,,,,,,178.6,0.906,0.843,0.96,0.0,0.0,0.011,-0.174,5.74
