Rank,ADP,Name,POS,AB,Z_R,Z_HR,Z_RBI,Z_SB,Z_BB,Z_AVG,Z_SLG,IP,Z_K,Z_QS,Z_W,Z_SV,Z_HLD,Z_ERA,Z_WHIP,$
1,1.4,Shohei Ohtani,DH,564.0,2.699,3.264,2.123,2.061,2.628,1.506,3.715,,,,,,,,,22.11
2,2.3,Aaron Judge,OF,510.0,2.245,3.026,2.086,0.207,3.447,1.807,3.715,,,,,,,,,20.31
3,4.6,Juan Soto,OF,519.0,2.099,2.3,1.761,1.733,3.905,1.256,2.6,,,,,,,,,19.23
4,6.2,Bobby Witt Jr.,SS,591.0,1.837,1.66,1.626,3.209,0.704,2.408,2.381,,,,,,,,,16.98
5,10.1,Ronald Acuna Jr.,OF,520.0,1.915,1.552,1.162,2.137,2.183,2.007,1.9,,,,,,,,,15.79
6,16.7,Vladimir Guerrero Jr.,1B,547.0,1.727,1.931,1.9,-0.285,1.799,2.508,2.578,,,,,,,,,14.94
7,6.6,Jose Ramirez,3B,556.0,1.329,1.574,1.655,3.007,1.188,1.456,1.944,,,,,,,,,14.93
8,33.6,Elly De La Cruz,SS,561.0,1.29,1.194,1.48,4.117,1.398,0.906,1.441,,,,,,,,,14.53
9,12.1,Kyle Tucker,OF,510.0,1.595,1.66,1.564,1.619,2.126,1.156,2.009,,,,,,,,,14.41
10,24.3,Gunnar Henderson,SS,567.0,1.826,1.498,1.491,1.998,1.568,1.406,1.834,,,,,,,,,14.28
11,14.8,Fernando Tatis Jr.,OF,531.0,1.762,1.726,1.191,1.973,1.48,1.406,1.965,,,,,,,,,14.13
12,35.5,Yordan Alvarez,DH,455.0,1.318,1.704,1.418,-0.399,1.546,2.658,2.972,,,,,,,,,13.78
13,59.4,Nick Kurtz,1B,530.0,1.769,2.658,1.907,-0.298,1.851,0.555,2.556,,,,,,,,,13.51
14,23.6,Julio Rodriguez,OF,577.0,1.411,1.812,1.662,2.061,0.599,1.406,1.769,,,,,,,,,13.17
15,17.2,Corbin Carroll,OF,508.0,1.297,1.26,1.235,3.019,1.319,0.655,1.703,,,,,,,,,12.89
16,39.3,Mason Miller,RP,,,,,,,,,64.8,2.289,0.0,1.324,2.22,-1.178,-0.706,-0.727,12.44
17,21.5,Kyle Schwarber,DH,530.0,1.83,2.842,1.688,-0.071,2.75,-0.746,1.834,,,,,,,,,12.44
18,6.3,Tarik Skubal,SP,,,,,,,,,175.6,1.841,1.558,1.259,0.0,0.0,-0.688,-0.712,12.38
19,19.2,Junior Caminero,3B,568.0,1.35,2.614,2.024,-0.146,0.416,1.106,2.337,,,,,,,,,11.92
20,72.5,Bryce Harper,1B,513.0,1.361,1.444,1.399,0.295,1.856,1.406,1.747,,,,,,,,,11.68
21,91.7,James Wood,OF,547.0,1.521,1.53,1.195,1.254,1.947,0.605,1.375,,,,,,,,,11.58
22,5.1,Paul Skenes,SP,,,,,,,,,172.5,1.7,1.463,1.066,0.0,0.0,-0.652,-0.611,11.22
23,15.9,Ketel Marte,2B,550.0,1.677,1.411,1.224,-0.108,1.607,1.657,1.55,,,,,,,,,11.08
24,41.5,Jackson Chourio,OF,583.0,1.439,1.314,1.125,2.074,0.312,1.206,1.266,,,,,,,,,10.73
25,97.7,Wyatt Langford,OF,524.0,1.368,1.162,1.049,1.72,1.773,0.455,0.894,,,,,,,,,10.35
26,78.2,Trea Turner,SS,579.0,1.467,0.577,0.855,2.578,0.36,1.757,0.763,,,,,,,,,10.27
27,79.8,Freddie Freeman,1B,531.0,1.34,0.989,1.491,-0.033,1.358,1.707,1.506,,,,,,,,,10.27
28,45.8,Edwin Diaz,RP,,,,,,,,,64.8,1.604,0.0,1.324,2.22,-1.178,-0.422,-0.511,10.02
