Rank,Name,PA,R,TB,RBI,BB ,SO,SB,IP,H,ER,BB,K,W,L,SV,HLD,POS,Diff,ADP,PTS
1,Shohei Ohtani,667.0,114.8,318.8,98.4,82.6,152.7,33.5,118.0,94.0,44.9,37.4,138.0,8.2,4.7,0.0,0.0,DH,-1.8,2.8,773.2
2,Shohei Ohtani,667.0,114.8,318.8,98.4,82.6,152.7,33.5,118.0,94.0,44.9,37.4,138.0,8.2,4.7,0.0,0.0,SP,-0.8,2.8,773.2
3,Juan Soto,658.0,107.6,274.4,88.3,125.6,109.2,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OF,-1.0,4.0,495.6
4,Jose Ramirez,628.0,83.5,281.5,90.6,58.3,76.5,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3B,-1.4,5.4,466.5
5,Bobby Witt Jr.,649.0,96.4,302.2,87.6,47.2,100.9,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SS,1.0,4.0,466.3
6,Vladimir Guerrero Jr.,643.0,95.5,297.0,93.5,67.0,92.3,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1B,-5.1,11.1,465.5
7,Mookie Betts,637.0,99.3,272.6,80.8,74.4,87.3,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SS/OF,0.3,6.7,454.2
8,Paul Skenes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.5,116.7,49.2,48.0,206.3,10.3,7.0,0.0,0.0,SP,-2.7,10.7,440.3
9,Aaron Judge,616.0,101.8,285.9,100.9,101.8,159.3,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OF,5.8,3.2,438.6
10,Yordan Alvarez,592.0,92.7,278.3,92.0,71.3,100.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OF,-2.3,12.3,437.8
11,Tarik Skubal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.9,131.8,55.7,38.7,197.5,10.8,7.5,0.0,0.0,SP,1.3,9.7,431.9
12,Zack Wheeler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.8,153.1,67.8,47.3,196.6,13.1,7.5,0.0,0.0,SP,-2.3,14.3,426.2
13,Kyle Tucker,616.0,86.7,257.3,80.2,75.5,95.8,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OF,3.4,9.6,423.7
14,Corbin Carroll,657.0,96.0,261.8,74.0,69.1,121.7,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OF,-1.5,15.5,418.5
15,Freddie Freeman,646.0,89.5,267.7,86.6,71.0,107.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1B,-3.9,18.9,418.3
16,Logan Gilbert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.8,157.1,75.4,39.9,194.7,12.1,8.8,0.0,0.0,SP,-4.5,20.5,407.9
17,Luis Arraez,660.0,87.5,252.8,59.4,39.3,41.1,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1B/2B,-31.2,48.2,406.0
18,Cole Ragans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.6,141.1,66.1,66.7,202.3,11.7,8.0,0.0,0.0,SP,-15.2,33.2,405.5
19,Ketel Marte,651.0,94.0,267.6,77.6,68.9,117.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2B,-2.4,21.4,398.4
20,Dylan Cease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.6,142.5,69.9,66.5,212.0,11.8,7.8,0.0,0.0,SP,-3.9,23.9,398.0
21,Fernando Tatis Jr.,603.0,90.5,278.0,84.5,51.2,126.6,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OF,2.5,18.5,394.7
22,Bryce Harper,619.0,88.2,260.9,84.9,81.7,133.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1B,-7.9,29.9,392.5
23,Gunnar Henderson,598.0,94.4,265.2,77.8,64.8,128.1,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SS,7.9,15.1,389.7
24,Chris Sale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.3,121.4,51.9,38.1,186.0,11.2,5.2,0.0,0.0,SP,-9.0,33.0,388.6
25,Alex Bregman,630.0,80.1,242.4,78.5,63.3,80.7,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3B,-21.3,46.3,387.0
