Rank,Player,Pos,Tier,Diff,YDS,YPC,RUSH,REC,TD,YPR,REC/TAR Game,Team,Bye,ESPN,Rank-ADP,Link,RB_Rank
1,Christian McCaffrey,RB,1a,-1.0,2023.0,5.4,272.0,67.0,21.0,8.4,4.2/5.2,SF,9,1.0,0.0,https://www.4for4.com/player/christian-mccaffrey,1
4,Breece Hall,RB,1,-0.6,1585.0,4.5,223.0,76.0,9.0,7.8,4.5/5.6,NYJ,12,5.0,-1.0,https://www.4for4.com/player/breece-hall,2
5,Bijan Robinson,RB,1,1.4,1463.0,4.6,214.0,58.0,8.0,8.4,3.4/5.1,ATL,12,4.0,1.0,https://www.4for4.com/player/bijan-robinson,3
11,Jonathan Taylor,RB,2,-0.6,894.0,4.4,169.0,19.0,8.0,8.1,1.9/2.3,IND,14,9.0,2.0,https://www.4for4.com/player/jonathan-taylor,4
12,Travis Etienne Jr.,RB,2,0.4,1484.0,3.8,267.0,58.0,12.0,8.2,3.4/4.3,JAC,12,18.0,-6.0,https://www.4for4.com/player/travis-etienne-jr.,5
16,Isiah Pacheco,RB,2,-2.0,1179.0,4.6,205.0,44.0,9.0,5.5,3.1/3.5,KC,6,16.0,0.0,https://www.4for4.com/player/isiah-pacheco,6
18,Jahmyr Gibbs,RB,2,0.8,1261.0,5.2,182.0,52.0,11.0,6.1,3.5/4.7,DET,5,14.0,4.0,https://www.4for4.com/player/jahmyr-gibbs,7
20,Derrick Henry,RB,2,-6.2,1395.0,4.2,280.0,28.0,12.0,7.6,1.6/2.1,BAL,14,17.0,3.0,https://www.4for4.com/player/derrick-henry,8
22,Saquon Barkley,RB,2,-4.8,1242.0,3.9,247.0,41.0,10.0,6.8,2.9/4.3,PHI,5,10.0,12.0,https://www.4for4.com/player/saquon-barkley,9
26,De'Von Achane,RB,3,1.0,997.0,7.8,103.0,27.0,11.0,7.3,2.5/3.4,MIA,6,37.0,-11.0,https://www.4for4.com/player/de'von-achane,10
31,Kyren Williams,RB,3,-15.8,1350.0,5.0,228.0,32.0,15.0,6.4,2.7/4.0,LAR,6,15.0,16.0,https://www.4for4.com/player/kyren-williams,11
35,Joe Mixon,RB,3,-6.0,1410.0,4.0,257.0,52.0,12.0,7.2,3.1/3.8,HOU,14,32.0,3.0,https://www.4for4.com/player/joe-mixon,12
37,Josh Jacobs,RB,3,-5.0,1101.0,3.5,233.0,37.0,6.0,8.0,2.8/4.2,GB,10,38.0,-1.0,https://www.4for4.com/player/josh-jacobs,13
42,Rachaad White,RB,3,-11.0,1539.0,3.6,272.0,64.0,9.0,8.6,3.8/4.1,TB,11,31.0,11.0,https://www.4for4.com/player/rachaad-white,14
43,Kenneth Walker III,RB,4,-3.8,1164.0,4.1,219.0,29.0,9.0,8.9,1.9/2.5,SEA,10,43.0,0.0,https://www.4for4.com/player/kenneth-walker-iii,15
47,James Cook,RB,4,-16.0,1567.0,4.7,237.0,44.0,6.0,10.1,2.6/3.2,BUF,12,28.0,19.0,https://www.4for4.com/player/james-cook,16
50,Alvin Kamara,RB,4,-10.0,1160.0,3.9,180.0,75.0,6.0,6.2,5.8/6.6,NO,12,30.0,20.0,https://www.4for4.com/player/alvin-kamara,17
60,David Montgomery,RB,5,2.0,1132.0,4.6,219.0,16.0,13.0,7.3,1.1/1.7,DET,5,68.0,-8.0,https://www.4for4.com/player/david-montgomery,18
61,James Conner,RB,5,-5.0,1205.0,5.0,208.0,27.0,9.0,6.1,2.1/2.5,ARI,11,66.0,-5.0,https://www.4for4.com/player/james-conner,19
66,Rhamondre Stevenson,RB,5,0.0,857.0,4.0,156.0,38.0,4.0,6.3,3.2/4.3,NE,14,61.0,5.0,https://www.4for4.com/player/rhamondre-stevenson,20
