Rank,Player,Pos,Tier,YDS,YPC,Rush,REC,TD,YPR,Rec/Tar Game,Points,Team,Bye,ESPN,Rank-ADP,Link,RB_Rank
2,Bijan Robinson,RB,1,1964.0,4.8,308.0,62.0,17.0,7.8,3.7/4.6,329.6,ATL,5,2.0,0.0,https://www.4for4.com/player/bijan-robinson,1
3,Jahmyr Gibbs,RB,1,1690.0,5.4,236.0,49.0,17.0,8.4,2.9/3.8,295.6,DET,8,5.0,-2.0,https://www.4for4.com/player/jahmyr-gibbs,2
5,Saquon Barkley,RB,1,1862.0,5.4,293.0,36.0,17.0,7.8,2.1/3.0,306.2,PHI,9,3.0,2.0,https://www.4for4.com/player/saquon-barkley,3
7,Christian McCaffrey,RB,1,1839.0,5.1,253.0,66.0,16.0,8.3,3.9/5.0,313.0,SF,14,7.0,0.0,https://www.4for4.com/player/christian-mccaffrey,4
13,Ashton Jeanty,RB,2,1559.0,4.5,267.0,45.0,13.0,8.0,2.6/3.6,256.3,LV,8,11.0,2.0,https://www.4for4.com/player/ashton-jeanty,5
15,Derrick Henry,RB,2,1710.0,5.3,293.0,19.0,17.0,8.2,1.1/1.4,282.6,BAL,7,12.0,3.0,https://www.4for4.com/player/derrick-henry,6
17,De'Von Achane,RB,2,1576.0,4.9,206.0,74.0,14.0,7.7,4.3/5.4,278.4,MIA,12,14.0,3.0,https://www.4for4.com/player/de'von-achane,7
18,Chase Brown,RB,2,1434.0,4.4,239.0,51.0,13.0,7.5,3.0/3.9,246.9,CIN,10,24.0,-6.0,https://www.4for4.com/player/chase-brown,8
23,Bucky Irving,RB,3,1489.0,4.8,236.0,44.0,12.0,8.1,2.6/3.1,242.9,TB,9,22.0,1.0,https://www.4for4.com/player/bucky-irving,9
24,Jonathan Taylor,RB,3,1618.0,4.6,303.0,29.0,14.0,7.7,1.7/2.4,260.3,IND,11,15.0,9.0,https://www.4for4.com/player/jonathan-taylor,10
25,Josh Jacobs,RB,3,1507.0,4.4,279.0,35.0,14.0,8.1,2.0/2.7,252.0,GB,5,18.0,7.0,https://www.4for4.com/player/josh-jacobs,11
32,James Cook,RB,3,1363.0,4.8,224.0,36.0,15.0,8.0,2.1/2.6,244.3,BUF,7,32.0,0.0,https://www.4for4.com/player/james-cook,12
33,Omarion Hampton,RB,3,1210.0,4.4,208.0,37.0,10.0,7.9,2.2/2.9,199.6,LAC,12,39.0,-6.0,https://www.4for4.com/player/omarion-hampton,13
35,Kyren Williams,RB,4,1269.0,4.0,271.0,33.0,13.0,5.6,1.9/2.4,221.4,LAR,8,30.0,5.0,https://www.4for4.com/player/kyren-williams,14
43,Breece Hall,RB,4,1175.0,4.3,166.0,56.0,9.0,8.2,3.3/4.4,199.6,NYJ,9,51.0,-8.0,https://www.4for4.com/player/breece-hall,15
45,TreVeyon Henderson,RB,4,1229.0,4.4,216.0,35.0,10.0,7.9,2.1/2.8,200.5,NE,14,49.0,-4.0,https://www.4for4.com/player/treveyon-henderson,16
50,Kenneth Walker III,RB,5,1402.0,4.0,251.0,51.0,12.0,7.8,3.0/3.8,237.7,SEA,8,44.0,6.0,https://www.4for4.com/player/kenneth-walker-iii,17
55,Alvin Kamara,RB,5,1273.0,4.1,188.0,67.0,7.0,7.5,3.9/5.4,202.8,NO,11,38.0,17.0,https://www.4for4.com/player/alvin-kamara,18
56,Chuba Hubbard,RB,5,1220.0,4.3,233.0,42.0,9.0,5.2,2.5/3.1,197.0,CAR,14,41.0,15.0,https://www.4for4.com/player/chuba-hubbard,19
59,James Conner,RB,5,1370.0,4.5,233.0,41.0,13.0,7.9,2.4/2.9,235.3,ARI,8,46.0,13.0,https://www.4for4.com/player/james-conner,20
63,Tony Pollard,RB,6,1121.0,4.2,204.0,44.0,7.0,6.0,2.6/3.5,176.1,TEN,10,70.0,-7.0,https://www.4for4.com/player/tony-pollard,21
65,RJ Harvey,RB,6,860.0,4.4,156.0,26.0,10.0,6.8,1.5/2.0,158.7,DEN,12,74.0,-9.0,https://www.4for4.com/player/rj-harvey,22
71,David Montgomery,RB,6,1024.0,4.2,194.0,26.0,12.0,8.1,1.5/1.9,187.4,DET,8,59.0,12.0,https://www.4for4.com/player/david-montgomery,23
76,D'Andre Swift,RB,6,1191.0,4.2,207.0,43.0,8.0,7.5,2.5/3.1,188.6,CHI,5,54.0,22.0,https://www.4for4.com/player/d'andre-swift,24
81,Jaylen Warren,RB,6,1212.0,4.5,184.0,50.0,8.0,7.7,2.9/3.8,194.1,PIT,5,85.0,-4.0,https://www.4for4.com/player/jaylen-warren,25
82,Isiah Pacheco,RB,6,1120.0,4.4,205.0,33.0,8.0,6.6,1.9/2.5,176.5,KC,10,63.0,19.0,https://www.4for4.com/player/isiah-pacheco,26
83,Jordan Mason,RB,7,913.0,4.7,158.0,21.0,7.0,8.1,1.2/1.6,143.8,MIN,6,124.0,-41.0,https://www.4for4.com/player/jordan-mason,27
84,Tyrone Tracy Jr.,RB,7,1058.0,4.5,186.0,29.0,7.0,7.6,1.7/2.4,162.3,NYG,14,80.0,4.0,https://www.4for4.com/player/tyrone-tracy-jr.,28
95,Kaleb Johnson,RB,8,926.0,4.3,178.0,21.0,8.0,7.6,1.2/1.7,151.2,PIT,5,93.0,2.0,https://www.4for4.com/player/kaleb-johnson,29
98,Travis Etienne Jr.,RB,8,68.0,3.9,12.0,3.0,,7.2,2.8/0.0,0.0,JAC,8,117.0,-19.0,https://www.4for4.com/player/travis-etienne-jr.,30
102,Jacory Croskey-Merritt,RB,8,584.0,4.1,108.0,25.0,5.0,5.9,1.5/1.9,100.8,WAS,12,91.0,11.0,https://www.4for4.com/player/jacory-croskey-merritt,31
103,Zach Charbonnet,RB,8,824.0,4.2,130.0,37.0,6.0,7.5,2.2/2.8,136.9,SEA,8,135.0,-32.0,https://www.4for4.com/player/zach-charbonnet,32
107,Cam Skattebo,RB,8,1029.0,4.4,173.0,35.0,7.0,7.7,2.0/2.7,162.3,NYG,14,113.0,-6.0,https://www.4for4.com/player/cam-skattebo,33
111,J.K. Dobbins,RB,8,813.0,4.3,149.0,28.0,9.0,6.2,1.6/2.2,149.1,DEN,12,100.0,11.0,https://www.4for4.com/player/j.k.-dobbins,34
116,Bhayshul Tuten,RB,8,511.0,4.1,91.0,19.0,4.0,7.2,1.1/1.6,84.6,JAC,8,173.0,-57.0,https://www.4for4.com/player/bhayshul-tuten,35
121,Javonte Williams,RB,9,783.0,3.9,153.0,30.0,6.0,6.2,1.8/2.4,129.3,DAL,10,105.0,16.0,https://www.4for4.com/player/javonte-williams,36
122,Rhamondre Stevenson,RB,9,684.0,3.9,141.0,24.0,6.0,5.6,1.4/1.9,116.4,NE,14,110.0,12.0,https://www.4for4.com/player/rhamondre-stevenson,37
128,Austin Ekeler,RB,9,965.0,4.3,127.0,48.0,5.0,8.7,2.8/3.6,150.6,WAS,12,99.0,29.0,https://www.4for4.com/player/austin-ekeler,38
129,Braelon Allen,RB,9,670.0,3.9,117.0,28.0,6.0,7.6,1.7/2.4,117.0,NYJ,9,159.0,-30.0,https://www.4for4.com/player/braelon-allen,39
130,Jaydon Blue,RB,9,659.0,4.0,127.0,22.0,5.0,6.8,1.3/1.8,106.9,DAL,10,156.0,-26.0,https://www.4for4.com/player/jaydon-blue,40
134,Tyjae Spears,RB,9,926.0,4.0,156.0,41.0,5.0,7.4,2.4/3.1,143.0,TEN,10,147.0,-13.0,https://www.4for4.com/player/tyjae-spears,41
135,Tank Bigsby,RB,9,700.0,4.2,153.0,8.0,6.0,6.9,0.5/0.7,110.1,JAC,8,128.0,7.0,https://www.4for4.com/player/tank-bigsby,42
136,Tyler Allgeier,RB,9,566.0,4.2,112.0,12.0,5.0,7.6,0.7/0.9,92.8,ATL,5,164.0,-28.0,https://www.4for4.com/player/tyler-allgeier,43
137,Quinshon Judkins,RB,9,667.0,4.3,123.0,20.0,4.0,7.1,1.4/1.9,100.5,CLE,9,123.0,14.0,https://www.4for4.com/player/quinshon-judkins,44
141,Rachaad White,RB,9,726.0,4.0,107.0,38.0,5.0,7.8,2.4/2.8,121.8,TB,9,145.0,-4.0,https://www.4for4.com/player/rachaad-white,45
143,Trey Benson,RB,9,620.0,4.4,111.0,16.0,4.0,8.2,0.9/1.2,94.0,ARI,8,153.0,-10.0,https://www.4for4.com/player/trey-benson,46
145,Dylan Sampson,RB,10,569.0,4.1,108.0,18.0,4.0,7.0,1.1/1.4,89.9,CLE,9,,,https://www.4for4.com/player/dylan-sampson,47
