Rank,Tier,Rnd,Player,Pos,YDS,YPC,RUSH,REC,TD,YPR,REC/TAR Game,Team,Bye,ESPN,Rank-ADP,Link,RB_Rank
2,1,1.17,Christian McCaffrey,RB,1914.0,4.7,244.0,85.0,13.0,8.7,5.0/6.4,SF,9.0,3.0,-1.0,https://www.4for4.com/player/christian-mccaffrey,1
5,1,1.42,Austin Ekeler,RB,1637.0,4.5,204.0,107.0,18.0,6.7,6.3/7.5,LAC,5.0,4.0,1.0,https://www.4for4.com/player/austin-ekeler,2
8,1,1.67,Saquon Barkley,RB,1650.0,4.4,295.0,57.0,10.0,5.9,3.6/4.8,NYG,13.0,9.0,-1.0,https://www.4for4.com/player/saquon-barkley,3
11,2,1.92,Bijan Robinson,RB,,,,,,,,ATL,11.0,8.0,3.0,https://www.4for4.com/player/bijan-robinson,4
12,2,2.0,Tony Pollard,RB,1378.0,5.2,193.0,39.0,12.0,9.5,2.4/3.4,DAL,7.0,15.0,-3.0,https://www.4for4.com/player/tony-pollard,5
14,2,2.17,Nick Chubb,RB,1764.0,5.0,302.0,27.0,13.0,8.9,1.6/2.2,CLE,5.0,14.0,0.0,https://www.4for4.com/player/nick-chubb,6
18,2,2.5,Derrick Henry,RB,1940.0,4.4,349.0,33.0,13.0,12.1,2.1/2.6,TEN,7.0,10.0,8.0,https://www.4for4.com/player/derrick-henry,7
19,2,2.58,Josh Jacobs,RB,2053.0,4.9,340.0,53.0,12.0,7.5,3.1/3.8,LV,13.0,19.0,0.0,https://www.4for4.com/player/josh-jacobs,8
21,2,2.75,Jonathan Taylor,RB,1004.0,4.5,192.0,28.0,4.0,5.1,2.5/3.6,IND,11.0,26.0,-5.0,https://www.4for4.com/player/jonathan-taylor,9
22,2,2.83,Rhamondre Stevenson,RB,1461.0,5.0,210.0,69.0,6.0,6.1,4.1/5.2,NE,11.0,39.0,-17.0,https://www.4for4.com/player/rhamondre-stevenson,10
26,3,3.17,Joe Mixon,RB,1255.0,3.9,210.0,60.0,9.0,7.4,4.3/5.4,CIN,7.0,25.0,1.0,https://www.4for4.com/player/joe-mixon,11
31,3,3.58,Najee Harris,RB,1267.0,3.8,272.0,41.0,10.0,5.6,2.4/3.1,PIT,6.0,33.0,-2.0,https://www.4for4.com/player/najee-harris,12
33,3,3.75,Travis Etienne Jr.,RB,1441.0,5.1,220.0,35.0,5.0,9.0,2.1/2.6,JAC,9.0,32.0,1.0,https://www.4for4.com/player/travis-etienne-jr.,13
34,3,3.83,Jahmyr Gibbs,RB,,,,,,,,DET,9.0,37.0,-3.0,https://www.4for4.com/player/jahmyr-gibbs,14
39,3,4.25,Aaron Jones,RB,1516.0,5.3,213.0,59.0,7.0,6.7,3.5/4.2,GB,6.0,34.0,5.0,https://www.4for4.com/player/aaron-jones,15
40,3,4.33,Breece Hall,RB,681.0,5.8,80.0,19.0,5.0,11.5,2.7/4.4,NYJ,7.0,55.0,-15.0,https://www.4for4.com/player/breece-hall,16
42,3,4.5,Kenneth Walker III,RB,1215.0,4.6,228.0,27.0,9.0,6.1,1.8/2.3,SEA,5.0,54.0,-12.0,https://www.4for4.com/player/kenneth-walker-iii,17
43,4,4.58,Dameon Pierce,RB,1104.0,4.3,220.0,30.0,5.0,5.5,2.3/3.0,HOU,7.0,47.0,-4.0,https://www.4for4.com/player/dameon-pierce,18
49,4,5.08,J.K. Dobbins,RB,562.0,5.7,92.0,7.0,3.0,6.0,0.9/1.0,BAL,13.0,84.0,-35.0,https://www.4for4.com/player/j.k.-dobbins,19
51,4,5.25,Alexander Mattison,RB,374.0,3.8,74.0,15.0,6.0,6.1,0.9/1.1,MIN,13.0,65.0,-14.0,https://www.4for4.com/player/alexander-mattison,20
