Rank,Player,Pos,Tier,Diff,YDS,YPC,RUSH,REC,TD,YPR,REC/TAR Game,Team,Bye,ESPN,Rank-ADP,Link,TE_Rank
28,Sam Laporta,TE,3,2.6,893.0,4.0,1.0,86.0,10.0,10.3,5.1/7.1,DET,5,34.0,-6.0,https://www.4for4.com/player/sam-laporta,1
30,Travis Kelce,TE,3,-3.4,984.0,0.0,,93.0,5.0,10.6,6.2/8.1,KC,6,22.0,8.0,https://www.4for4.com/player/travis-kelce,2
39,Trey McBride,TE,3,6.8,825.0,0.0,,81.0,3.0,10.2,4.8/6.2,ARI,11,50.0,-11.0,https://www.4for4.com/player/trey-mcbride,3
52,Mark Andrews,TE,4,-6.0,544.0,0.0,1.0,45.0,6.0,12.1,4.5/6.1,BAL,14,45.0,7.0,https://www.4for4.com/player/mark-andrews,4
62,Dalton Kincaid,TE,5,-9.4,673.0,0.0,,73.0,2.0,9.2,4.6/5.7,BUF,12,56.0,6.0,https://www.4for4.com/player/dalton-kincaid,5
64,Kyle Pitts,TE,5,-1.0,663.0,-4.0,1.0,53.0,3.0,12.6,3.1/5.3,ATL,12,65.0,-1.0,https://www.4for4.com/player/kyle-pitts,6
71,George Kittle,TE,5,-14.0,1022.0,2.0,1.0,65.0,6.0,15.7,4.1/5.6,SF,9,51.0,20.0,https://www.4for4.com/player/george-kittle,7
75,Evan Engram,TE,5,-10.0,963.0,0.0,,114.0,4.0,8.4,6.7/8.4,JAC,12,55.0,20.0,https://www.4for4.com/player/evan-engram,8
84,Jake Ferguson,TE,6,-2.6,761.0,0.0,,71.0,5.0,10.7,4.2/6.0,DAL,7,79.0,5.0,https://www.4for4.com/player/jake-ferguson,9
89,David Njoku,TE,6,-4.4,882.0,0.0,,81.0,6.0,10.9,5.1/7.7,CLE,10,78.0,11.0,https://www.4for4.com/player/david-njoku,10
104,Brock Bowers,TE,7,-3.4,,,,,,,,LV,10,107.0,-3.0,https://www.4for4.com/player/brock-bowers,11
112,Dallas Goedert,TE,8,-1.6,593.0,1.0,1.0,59.0,3.0,10.0,4.2/5.9,PHI,5,117.0,-5.0,https://www.4for4.com/player/dallas-goedert,12
129,Pat Freiermuth,TE,9,5.6,308.0,0.0,,32.0,2.0,9.6,2.7/3.9,PIT,9,134.0,-5.0,https://www.4for4.com/player/pat-freiermuth,13
135,Dalton Schultz,TE,9,-10.0,635.0,0.0,,59.0,5.0,10.8,3.9/5.9,HOU,14,126.0,9.0,https://www.4for4.com/player/dalton-schultz,14
136,T.J. Hockenson,TE,9,-9.4,960.0,0.0,,95.0,5.0,10.1,6.3/8.5,MIN,6,122.0,14.0,https://www.4for4.com/player/t.j.-hockenson,15
142,Hunter Henry,TE,9,51.5,419.0,0.0,,42.0,6.0,10.0,3.0/4.4,NE,14,,,https://www.4for4.com/player/hunter-henry,16
149,Taysom Hill,TE,10,18.5,892.0,6.0,96.0,9.0,9.0,8.6,0.6/0.8,NO,12,156.0,-7.0,https://www.4for4.com/player/taysom-hill,17
155,Cole Kmet,TE,10,-15.2,721.0,0.7,3.0,73.0,6.0,9.8,4.3/5.3,CHI,7,160.0,-5.0,https://www.4for4.com/player/cole-kmet,18
158,Tyler Conklin,TE,10,27.6,621.0,0.0,1.0,61.0,,10.2,3.6/5.1,NYJ,12,163.0,-5.0,https://www.4for4.com/player/tyler-conklin,19
160,Luke Musgrave,TE,10,18.6,352.0,0.0,,34.0,1.0,10.4,3.1/4.2,GB,10,255.0,-95.0,https://www.4for4.com/player/luke-musgrave,20
166,Jonnu Smith,TE,10,62.8,582.0,0.0,1.0,50.0,3.0,11.6,2.9/4.1,MIA,6,,,https://www.4for4.com/player/jonnu-smith,21
184,Juwan Johnson,TE,11,89.7,368.0,0.0,,37.0,4.0,9.9,2.8/4.5,NO,12,,,https://www.4for4.com/player/juwan-johnson,22
186,Noah Fant,TE,11,64.0,414.0,0.0,,32.0,,12.9,1.9/2.5,SEA,10,,,https://www.4for4.com/player/noah-fant,23
194,Cade Otton,TE,12,13.0,455.0,0.0,,47.0,4.0,9.7,2.8/3.9,TB,11,,,https://www.4for4.com/player/cade-otton,24
201,Ben Sinnott,TE,12,9.7,,,,,,,,WAS,14,,,https://www.4for4.com/player/ben-sinnott,25
206,Chigoziem Okonkwo,TE,12,-3.2,534.0,3.0,2.0,54.0,1.0,9.8,3.2/4.5,TEN,5,188.0,18.0,https://www.4for4.com/player/chigoziem-okonkwo,26
217,Isaiah Likely,TE,13,-39.8,411.0,0.0,,30.0,5.0,13.7,1.8/2.4,BAL,14,205.0,12.0,https://www.4for4.com/player/isaiah-likely,27
226,Colby Parkinson,TE,13,44.5,247.0,0.0,,25.0,2.0,9.9,1.5/2.0,LAR,6,,,https://www.4for4.com/player/colby-parkinson,28
234,Tucker Kraft,TE,13,29.0,355.0,0.0,,31.0,2.0,11.5,1.8/2.4,GB,10,,,https://www.4for4.com/player/tucker-kraft,29
238,Mike Gesicki,TE,13,-5.5,244.0,0.0,,29.0,2.0,8.4,1.7/2.6,CIN,12,246.0,-8.0,https://www.4for4.com/player/mike-gesicki,30
241,Gerald Everett,TE,14,39.0,421.0,3.3,3.0,51.0,3.0,8.1,3.4/4.7,CHI,7,,,https://www.4for4.com/player/gerald-everett,31
245,Theo Johnson,TE,14,72.0,,,,,,,,NYG,11,,,https://www.4for4.com/player/theo-johnson,32
258,Erick All Jr.,TE,14,518.0,,,,,,,,CIN,12,,,https://www.4for4.com/player/erick-all-jr.,33
266,Dawson Knox,TE,15,-53.3,186.0,0.0,,22.0,2.0,8.5,1.8/3.0,BUF,12,211.0,55.0,https://www.4for4.com/player/dawson-knox,34
269,Greg Dulcich,TE,15,-14.3,25.0,0.0,,3.0,,8.3,1.5/2.0,DEN,14,,,https://www.4for4.com/player/greg-dulcich,35
283,Zach Ertz,TE,15,-65.4,187.0,0.0,,27.0,1.0,6.9,3.9/6.1,WAS,14,223.0,60.0,https://www.4for4.com/player/zach-ertz,36
285,Michael Mayer,TE,15,-21.7,304.0,0.0,,27.0,2.0,11.3,1.9/2.9,LV,10,294.0,-9.0,https://www.4for4.com/player/michael-mayer,37
296,Hayden Hurst,TE,15,-10.0,184.0,0.0,,18.0,1.0,10.2,2.0/3.6,LAC,5,,,https://www.4for4.com/player/hayden-hurst,38
297,Ja'Tavion Sanders,TE,15,-45.0,,,,,,,,CAR,11,266.0,31.0,https://www.4for4.com/player/ja'tavion-sanders,39
303,Tyler Higbee,TE,15,31.7,495.0,0.0,,47.0,2.0,10.5,3.1/4.7,LAR,6,369.0,-66.0,https://www.4for4.com/player/tyler-higbee,40
324,Noah Gray,TE,16,-84.5,306.0,1.0,1.0,28.0,2.0,10.9,1.6/2.4,KC,6,228.0,96.0,https://www.4for4.com/player/noah-gray,41
327,Kylen Granson,TE,16,89.0,370.0,2.0,1.0,30.0,1.0,12.3,2.0/3.3,IND,14,,,https://www.4for4.com/player/kylen-granson,42
329,Will Dissly,TE,16,165.0,172.0,0.0,,17.0,1.0,10.1,1.1/1.4,LAC,5,,,https://www.4for4.com/player/will-dissly,43
334,Will Mallory,TE,16,40.0,207.0,0.0,,18.0,,11.5,1.5/2.2,IND,14,,,https://www.4for4.com/player/will-mallory,44
340,Daniel Bellinger,TE,16,-14.0,255.0,0.0,,25.0,,10.2,1.5/1.6,NYG,11,,,https://www.4for4.com/player/daniel-bellinger,45
363,Donald Parham Jr.,TE,17,81.0,285.0,0.0,,27.0,4.0,10.6,1.9/2.9,DEN,14,,,https://www.4for4.com/player/donald-parham-jr.,46
367,Cade Stover,TE,18,-60.5,,,,,,,,HOU,14,287.0,80.0,https://www.4for4.com/player/cade-stover,47
372,Mo Alie-Cox,TE,18,3.0,161.0,0.0,,13.0,3.0,12.4,0.8/1.3,IND,14,367.0,5.0,https://www.4for4.com/player/mo-alie-cox,48
376,Jared Wiley,TE,19,-29.0,,,,,,,,KC,6,316.0,60.0,https://www.4for4.com/player/jared-wiley,49
385,Brevin Jordan,TE,19,-50.0,219.0,0.0,,17.0,2.0,12.9,1.2/1.5,HOU,14,326.0,59.0,https://www.4for4.com/player/brevin-jordan,50
393,Davis Allen,TE,19,-18.0,95.0,0.0,,10.0,1.0,9.5,0.7/0.7,LAR,6,376.0,17.0,https://www.4for4.com/player/davis-allen,51
410,Josh Whyle,TE,20,137.0,94.0,0.0,,9.0,1.0,10.4,0.8/1.4,TEN,5,,,https://www.4for4.com/player/josh-whyle,52
421,Adam Trautman,TE,21,-24.5,204.0,0.0,,22.0,3.0,9.3,1.3/2.1,DEN,14,292.0,129.0,https://www.4for4.com/player/adam-trautman,53
423,Ian Thomas,TE,21,167.0,56.0,0.0,,5.0,,11.2,0.4/0.8,CAR,11,,,https://www.4for4.com/player/ian-thomas,54
427,Peyton Hendershot,TE,21,-20.5,38.0,0.0,1.0,4.0,,9.5,0.5/0.9,KC,6,401.0,26.0,https://www.4for4.com/player/peyton-hendershot,55
