Rank,Player,Pos,Tier,YDS,YPC,Rush,REC,TD,YPR,Rec/Tar Game,Points,Team,Bye,ESPN,Rank-ADP,Link,TE_Rank
19,Brock Bowers,TE,2,1170.0,0.0,,107.0,8.0,10.9,6.3/8.6,218.6,LV,8,20.0,-1.0,https://www.4for4.com/player/brock-bowers,1
21,Trey McBride,TE,3,1087.0,0.0,,107.0,6.0,10.2,6.3/8.5,198.0,ARI,8,25.0,-4.0,https://www.4for4.com/player/trey-mcbride,2
30,George Kittle,TE,3,1110.0,0.0,,76.0,7.0,14.6,4.5/6.2,191.0,SF,14,35.0,-5.0,https://www.4for4.com/player/george-kittle,3
58,Sam Laporta,TE,5,774.0,0.0,,71.0,7.0,10.9,4.2/5.9,154.9,DET,8,48.0,10.0,https://www.4for4.com/player/sam-laporta,4
75,T.J. Hockenson,TE,6,902.0,0.0,,87.0,5.0,10.4,5.1/7.4,163.6,MIN,6,56.0,19.0,https://www.4for4.com/player/t.j.-hockenson,5
77,Mark Andrews,TE,6,739.0,0.0,,62.0,8.0,12.0,3.6/4.8,152.7,BAL,7,72.0,5.0,https://www.4for4.com/player/mark-andrews,6
80,Travis Kelce,TE,6,728.0,0.0,,76.0,6.0,9.6,4.5/6.2,146.9,KC,10,58.0,22.0,https://www.4for4.com/player/travis-kelce,7
92,Evan Engram,TE,7,633.0,0.0,,78.0,5.0,8.1,4.6/6.4,132.3,DEN,12,78.0,14.0,https://www.4for4.com/player/evan-engram,8
99,Tucker Kraft,TE,8,860.0,0.0,,69.0,5.0,12.5,4.0/5.5,150.4,GB,5,107.0,-8.0,https://www.4for4.com/player/tucker-kraft,9
100,Jake Ferguson,TE,8,804.0,0.0,,76.0,5.0,10.6,4.5/6.4,148.3,DAL,10,132.0,-32.0,https://www.4for4.com/player/jake-ferguson,10
101,Tyler Warren,TE,8,734.0,0.0,15.0,66.0,6.0,10.2,3.9/5.8,142.2,IND,11,87.0,14.0,https://www.4for4.com/player/tyler-warren,11
104,Colston Loveland,TE,8,611.0,0.0,,62.0,4.0,9.8,3.7/5.2,116.2,CHI,5,111.0,-7.0,https://www.4for4.com/player/colston-loveland,12
106,David Njoku,TE,8,738.0,0.0,,79.0,5.0,9.4,4.6/6.8,143.1,CLE,9,71.0,35.0,https://www.4for4.com/player/david-njoku,13
110,Dalton Kincaid,TE,8,556.0,0.0,,58.0,5.0,9.6,3.4/5.0,114.6,BUF,7,127.0,-17.0,https://www.4for4.com/player/dalton-kincaid,14
113,Dallas Goedert,TE,8,668.0,0.0,,63.0,5.0,10.6,3.7/4.9,128.3,PHI,9,130.0,-17.0,https://www.4for4.com/player/dallas-goedert,15
140,Zach Ertz,TE,9,457.0,0.0,,54.0,3.0,8.4,3.2/4.8,90.8,WAS,12,155.0,-15.0,https://www.4for4.com/player/zach-ertz,16
151,Hunter Henry,TE,10,704.0,0.0,,71.0,5.0,9.9,4.2/6.1,135.9,NE,14,157.0,-6.0,https://www.4for4.com/player/hunter-henry,17
154,Brenton Strange,TE,10,657.0,0.0,,71.0,5.0,9.2,4.2/6.2,131.4,JAC,8,217.0,-63.0,https://www.4for4.com/player/brenton-strange,18
159,Jonnu Smith,TE,11,690.0,0.0,,68.0,5.0,10.2,4.0/5.2,132.8,PIT,5,182.0,-23.0,https://www.4for4.com/player/jonnu-smith,19
166,Isaiah Likely,TE,11,562.0,0.0,,46.0,5.0,12.2,3.1/4.3,109.3,BAL,7,199.0,-33.0,https://www.4for4.com/player/isaiah-likely,20
172,Cade Otton,TE,11,545.0,0.0,,55.0,4.0,9.9,3.2/4.8,106.0,TB,9,189.0,-17.0,https://www.4for4.com/player/cade-otton,21
175,Mike Gesicki,TE,11,437.0,0.0,,48.0,5.0,9.1,2.8/4.2,97.7,CIN,10,,,https://www.4for4.com/player/mike-gesicki,22
179,Chig Okonkwo,TE,11,555.0,0.0,,59.0,4.0,9.4,3.5/5.1,109.1,TEN,10,,,https://www.4for4.com/player/chig-okonkwo,23
193,Dalton Schultz,TE,12,543.0,0.0,,53.0,4.0,10.3,3.1/4.6,104.6,HOU,6,461.0,-268.0,https://www.4for4.com/player/dalton-schultz,24
196,Darren Waller,TE,12,635.0,0.0,,57.0,5.0,11.2,3.3/4.9,121.8,MIA,12,179.0,17.0,https://www.4for4.com/player/darren-waller,25
203,Mason Taylor,TE,12,598.0,0.0,,57.0,4.0,10.5,3.3/4.9,112.2,NYJ,9,,,https://www.4for4.com/player/mason-taylor,26
207,Pat Freiermuth,TE,13,466.0,0.0,,48.0,4.0,9.8,2.8/4.1,94.3,PIT,5,198.0,9.0,https://www.4for4.com/player/pat-freiermuth,27
218,Elijah Arroyo,TE,13,408.0,0.0,,36.0,2.0,11.5,2.1/3.0,70.6,SEA,8,,,https://www.4for4.com/player/elijah-arroyo,28
224,Ja'Tavion Sanders,TE,14,483.0,0.0,,49.0,4.0,9.9,2.9/3.8,96.6,CAR,14,,,https://www.4for4.com/player/ja'tavion-sanders,29
226,Harold Fannin Jr.,TE,14,503.0,0.0,,47.0,3.0,10.7,2.8/4.2,91.8,CLE,9,279.0,-53.0,https://www.4for4.com/player/harold-fannin-jr.,30
227,Juwan Johnson,TE,14,480.0,0.0,,47.0,4.0,10.3,2.7/4.4,95.3,NO,11,,,https://www.4for4.com/player/juwan-johnson,31
231,Theo Johnson,TE,14,577.0,0.0,,56.0,4.0,10.3,3.3/4.9,109.7,NYG,14,,,https://www.4for4.com/player/theo-johnson,32
245,AJ Barner,TE,14,451.0,0.0,,43.0,3.0,10.5,2.5/3.9,84.6,SEA,8,,,https://www.4for4.com/player/aj-barner,33
247,Noah Gray,TE,14,311.0,0.0,,29.0,3.0,10.7,1.7/2.3,63.6,KC,10,239.0,8.0,https://www.4for4.com/player/noah-gray,34
262,Tyler Higbee,TE,14,291.0,0.0,,32.0,2.0,9.2,1.9/2.9,56.9,LAR,8,,,https://www.4for4.com/player/tyler-higbee,35
271,Will Dissly,TE,14,257.0,0.0,,26.0,2.0,9.7,1.6/2.2,50.9,LAC,12,377.0,-106.0,https://www.4for4.com/player/will-dissly,36
278,Terrance Ferguson,TE,14,132.0,0.0,,14.0,1.0,9.4,0.8/1.3,26.3,LAR,8,260.0,18.0,https://www.4for4.com/player/terrance-ferguson,37
279,Cole Kmet,TE,14,253.0,0.0,,25.0,2.0,10.2,1.5/2.0,49.7,CHI,5,222.0,57.0,https://www.4for4.com/player/cole-kmet,38
304,Oronde Gadsden II,TE,14,,,,,,,,,LAC,12,452.0,-148.0,https://www.4for4.com/player/oronde-gadsden-ii,39
308,Ben Sinnott,TE,14,245.0,0.0,,25.0,2.0,9.8,1.5/2.1,49.0,WAS,12,,,https://www.4for4.com/player/ben-sinnott,40
316,Tyler Conklin,TE,14,202.0,0.0,,22.0,1.0,9.0,1.3/1.9,37.4,LAC,12,325.0,-9.0,https://www.4for4.com/player/tyler-conklin,41
340,Austin Hooper,TE,14,225.0,0.0,,23.0,1.0,9.9,1.3/1.9,39.9,NE,14,290.0,50.0,https://www.4for4.com/player/austin-hooper,42
341,Noah Fant,TE,14,195.0,0.0,,18.0,,11.0,1.0/1.5,28.4,CIN,10,,,https://www.4for4.com/player/noah-fant,43
343,Dawson Knox,TE,14,194.0,0.0,,19.0,2.0,10.2,1.1/1.7,41.0,BUF,7,226.0,117.0,https://www.4for4.com/player/dawson-knox,44
345,Michael Mayer,TE,14,228.0,0.0,,27.0,1.0,8.3,1.6/2.4,42.5,LV,8,,,https://www.4for4.com/player/michael-mayer,45
348,Grant Calcaterra,TE,14,5.0,0.0,,1.0,,9.8,0.5/0.0,0.0,PHI,9,284.0,64.0,https://www.4for4.com/player/grant-calcaterra,46
352,Gunnar Helm,TE,14,173.0,0.0,,17.0,1.0,10.0,1.0/1.5,32.0,TEN,10,289.0,63.0,https://www.4for4.com/player/gunnar-helm,47
357,Luke Schoonmaker,TE,14,13.0,0.0,,1.0,,10.3,1.3/0.0,0.0,DAL,10,327.0,30.0,https://www.4for4.com/player/luke-schoonmaker,48
360,Cade Stover,TE,14,155.0,0.0,,15.0,1.0,10.4,0.9/1.4,28.9,HOU,6,337.0,23.0,https://www.4for4.com/player/cade-stover,49
370,Taysom Hill,TE,14,301.0,0.0,28.0,17.0,3.0,11.8,2.4/3.7,56.4,NO,11,240.0,130.0,https://www.4for4.com/player/taysom-hill,50
376,Foster Moreau,TE,14,325.0,0.0,,23.0,2.0,13.9,1.4/2.2,56.2,NO,11,,,https://www.4for4.com/player/foster-moreau,51
377,Elijah Higgins,TE,14,8.0,0.0,,1.0,,9.9,0.8/0.0,0.0,ARI,8,318.0,59.0,https://www.4for4.com/player/elijah-higgins,52
391,Luke Musgrave,TE,14,176.0,0.0,,20.0,1.0,9.0,1.2/1.6,33.4,GB,5,252.0,139.0,https://www.4for4.com/player/luke-musgrave,53
404,Jalin Conyers,TE,14,120.0,0.0,,11.0,1.0,10.6,0.7/1.1,23.7,MIA,12,,,https://www.4for4.com/player/jalin-conyers,54
