Rank,Tier,Rnd,Player,Pos,YDS,YPC,RUSH,REC,TD,YPR,REC/TAR Game,Team,Bye,ESPN,Rank-ADP,Link,WR_Rank
1,1,1.08,Justin Jefferson,WR,1867.0,6.0,4.0,128.0,9.0,14.1,7.5/10.8,MIN,13.0,1.0,0.0,https://www.4for4.com/player/justin-jefferson,1
3,1,1.25,Ja'Marr Chase,WR,1054.0,1.6,5.0,87.0,9.0,12.0,7.3/11.2,CIN,7.0,2.0,1.0,https://www.4for4.com/player/ja'marr-chase,2
4,1,1.33,Cooper Kupp,WR,864.0,5.8,9.0,75.0,7.0,10.8,8.3/10.9,LAR,10.0,7.0,-3.0,https://www.4for4.com/player/cooper-kupp,3
6,1,1.5,Tyreek Hill,WR,1742.0,4.6,7.0,119.0,9.0,14.4,7.0/10.0,MIA,10.0,6.0,0.0,https://www.4for4.com/player/tyreek-hill,4
9,2,1.75,Stefon Diggs,WR,1426.0,-3.0,1.0,108.0,11.0,13.2,6.8/9.6,BUF,13.0,11.0,-2.0,https://www.4for4.com/player/stefon-diggs,5
10,2,1.83,Amon-Ra St. Brown,WR,1256.0,10.6,9.0,106.0,6.0,11.0,6.6/9.1,DET,9.0,21.0,-11.0,https://www.4for4.com/player/amon-ra-st.-brown,6
13,2,2.08,CeeDee Lamb,WR,1406.0,4.7,10.0,107.0,9.0,12.7,6.3/9.2,DAL,7.0,16.0,-3.0,https://www.4for4.com/player/ceedee-lamb,7
15,2,2.25,Davante Adams,WR,1515.0,-0.3,3.0,100.0,14.0,15.2,5.9/10.6,LV,13.0,12.0,3.0,https://www.4for4.com/player/davante-adams,8
16,2,2.33,A.J. Brown,WR,1496.0,0.0,,88.0,11.0,17.0,5.2/8.6,PHI,10.0,18.0,-2.0,https://www.4for4.com/player/a.j.-brown,9
17,2,2.42,Garrett Wilson,WR,1107.0,1.0,4.0,83.0,4.0,13.3,4.9/8.6,NYJ,7.0,17.0,0.0,https://www.4for4.com/player/garrett-wilson,10
20,2,2.67,Jaylen Waddle,WR,1382.0,8.7,3.0,75.0,8.0,18.1,4.4/6.9,MIA,10.0,23.0,-3.0,https://www.4for4.com/player/jaylen-waddle,11
23,3,2.92,Chris Olave,WR,1042.0,0.0,,72.0,4.0,14.5,4.8/7.9,NO,11.0,28.0,-5.0,https://www.4for4.com/player/chris-olave,12
24,3,3.0,Devonta Smith,WR,1196.0,0.0,,95.0,7.0,12.6,5.6/8.0,PHI,10.0,29.0,-5.0,https://www.4for4.com/player/devonta-smith,13
29,3,3.42,Tee Higgins,WR,1029.0,0.0,,74.0,7.0,13.9,4.6/6.8,CIN,7.0,27.0,2.0,https://www.4for4.com/player/tee-higgins,14
32,3,3.67,Calvin Ridley,WR,281.0,0.0,,31.0,2.0,9.1,6.2/10.4,JAC,9.0,40.0,-8.0,https://www.4for4.com/player/calvin-ridley,15
35,3,3.92,Amari Cooper,WR,1160.0,0.0,,78.0,9.0,14.9,4.6/7.8,CLE,5.0,42.0,-7.0,https://www.4for4.com/player/amari-cooper,16
36,3,4.0,DK Metcalf,WR,1048.0,0.0,,90.0,6.0,11.6,5.3/8.3,SEA,5.0,24.0,12.0,https://www.4for4.com/player/dk-metcalf,17
38,3,4.17,Keenan Allen,WR,760.0,8.0,1.0,66.0,4.0,11.4,6.6/8.9,LAC,5.0,38.0,0.0,https://www.4for4.com/player/keenan-allen,18
41,3,4.42,Deebo Samuel,WR,864.0,5.5,42.0,56.0,5.0,11.3,4.3/7.2,SF,9.0,36.0,5.0,https://www.4for4.com/player/deebo-samuel,19
44,4,4.67,DJ Moore,WR,941.0,5.3,10.0,63.0,7.0,14.1,3.7/6.9,CHI,13.0,56.0,-12.0,https://www.4for4.com/player/dj-moore,20
45,4,4.75,Drake London,WR,866.0,0.0,,72.0,4.0,12.0,4.2/6.9,ATL,11.0,79.0,-34.0,https://www.4for4.com/player/drake-london,21
47,4,4.92,Chris Godwin,WR,1028.0,1.7,3.0,104.0,3.0,9.8,6.9/9.5,TB,5.0,58.0,-11.0,https://www.4for4.com/player/chris-godwin,22
52,5,5.33,DeAndre Hopkins,WR,717.0,0.0,,64.0,3.0,11.2,7.1/10.7,TEN,7.0,49.0,3.0,https://www.4for4.com/player/deandre-hopkins,23
54,5,5.5,Brandon Aiyuk,WR,1038.0,11.5,2.0,78.0,8.0,13.0,4.6/6.7,SF,9.0,75.0,-21.0,https://www.4for4.com/player/brandon-aiyuk,24
60,5,6.0,Mike Evans,WR,1124.0,0.0,,77.0,6.0,14.6,5.1/8.5,TB,5.0,62.0,-2.0,https://www.4for4.com/player/mike-evans,25
61,5,6.08,Christian Watson,WR,691.0,11.4,7.0,41.0,9.0,14.9,2.9/4.7,GB,6.0,51.0,10.0,https://www.4for4.com/player/christian-watson,26
63,5,6.25,Mike Williams,WR,895.0,0.0,,63.0,4.0,14.2,4.8/7.2,LAC,5.0,67.0,-4.0,https://www.4for4.com/player/mike-williams,27
