Rank,Player,Pos,Tier,Diff,YDS,YPC,RUSH,REC,TD,YPR,REC/TAR Game,Team,Bye,ESPN,Rank-ADP,Link,WR_Rank
2,Tyreek Hill,WR,1,-0.2,1814.0,2.5,6.0,119.0,13.0,15.1,7.4/10.7,MIA,6,3.0,-1.0,https://www.4for4.com/player/tyreek-hill,1
3,CeeDee Lamb,WR,1,1.6,1862.0,8.1,14.0,135.0,14.0,13.0,7.9/10.6,DAL,7,2.0,1.0,https://www.4for4.com/player/ceedee-lamb,2
6,Amon-Ra St. Brown,WR,1,1.2,1539.0,6.0,4.0,119.0,10.0,12.7,7.4/10.3,DET,5,6.0,0.0,https://www.4for4.com/player/amon-ra-st.-brown,3
7,Justin Jefferson,WR,1,0.0,1062.0,-12.0,1.0,68.0,5.0,15.8,6.8/10.0,MIN,6,8.0,-1.0,https://www.4for4.com/player/justin-jefferson,4
8,Ja'Marr Chase,WR,1,-2.4,1203.0,-2.0,3.0,100.0,7.0,12.2,6.3/9.1,CIN,12,7.0,1.0,https://www.4for4.com/player/ja'marr-chase,5
9,A.J. Brown,WR,2,2.2,1456.0,0.0,,106.0,7.0,13.7,6.2/9.3,PHI,5,11.0,-2.0,https://www.4for4.com/player/a.j.-brown,6
10,Garrett Wilson,WR,2,2.4,1042.0,0.0,4.0,95.0,3.0,11.0,5.6/9.9,NYJ,12,12.0,-2.0,https://www.4for4.com/player/garrett-wilson,7
13,Marvin Harrison Jr.,WR,2,4.2,,,,,,,,ARI,11,20.0,-7.0,https://www.4for4.com/player/marvin-harrison-jr.,8
14,Chris Olave,WR,2,9.8,1123.0,0.0,,87.0,5.0,12.9,5.4/8.6,NO,12,19.0,-5.0,https://www.4for4.com/player/chris-olave,9
15,Puka Nacua,WR,2,-0.8,1575.0,7.4,12.0,105.0,6.0,14.2,6.2/9.4,LAR,6,13.0,2.0,https://www.4for4.com/player/puka-nacua,10
17,Nico Collins,WR,2,8.8,1304.0,7.0,1.0,80.0,8.0,16.2,5.3/7.3,HOU,14,29.0,-12.0,https://www.4for4.com/player/nico-collins,11
19,Davante Adams,WR,2,3.4,1144.0,0.0,,103.0,8.0,11.1,6.1/10.3,LV,10,21.0,-2.0,https://www.4for4.com/player/davante-adams,12
21,Mike Evans,WR,2,10.6,1255.0,0.0,,79.0,13.0,15.9,4.6/8.0,TB,11,24.0,-3.0,https://www.4for4.com/player/mike-evans,13
23,Brandon Aiyuk,WR,3,12.2,1342.0,0.0,,75.0,7.0,17.9,4.7/6.6,SF,9,41.0,-18.0,https://www.4for4.com/player/brandon-aiyuk,14
24,Drake London,WR,3,7.0,927.0,0.0,,69.0,2.0,13.1,4.3/6.9,ATL,12,33.0,-9.0,https://www.4for4.com/player/drake-london,15
25,Cooper Kupp,WR,3,9.2,734.0,-3.0,1.0,59.0,5.0,12.5,4.9/7.9,LAR,6,44.0,-19.0,https://www.4for4.com/player/cooper-kupp,16
29,Jaylen Waddle,WR,3,11.4,1026.0,4.0,3.0,72.0,4.0,14.1,5.1/7.4,MIA,6,49.0,-20.0,https://www.4for4.com/player/jaylen-waddle,17
