Rank,Player,Pos,Tier,YDS,YPC,Rush,REC,TD,YPR,Rec/Tar Game,Points,Team,Bye,ESPN,Rank-ADP,Link,WR_Rank
1,Ja'Marr Chase,WR,1,1549.0,5.0,3.0,120.0,12.0,12.8,7.0/10.1,286.8,CIN,10,1.0,0.0,https://www.4for4.com/player/ja'marr-chase,1
4,CeeDee Lamb,WR,1,1529.0,5.0,14.0,116.0,12.0,12.6,6.8/9.9,282.8,DAL,10,6.0,-2.0,https://www.4for4.com/player/ceedee-lamb,2
6,Justin Jefferson,WR,1,1626.0,0.0,,107.0,11.0,15.2,6.3/9.8,282.1,MIN,6,4.0,2.0,https://www.4for4.com/player/justin-jefferson,3
8,Malik Nabers,WR,1,1251.0,5.0,7.0,104.0,9.0,11.7,6.1/9.6,231.1,NYG,14,10.0,-2.0,https://www.4for4.com/player/malik-nabers,4
9,Amon-Ra St. Brown,WR,1,1299.0,5.0,3.0,114.0,11.0,11.2,6.7/9.1,252.9,DET,8,9.0,0.0,https://www.4for4.com/player/amon-ra-st.-brown,5
10,Puka Nacua,WR,2,1487.0,5.0,15.0,109.0,9.0,12.9,6.4/9.1,257.4,LAR,8,8.0,2.0,https://www.4for4.com/player/puka-nacua,6
11,Brian Thomas Jr.,WR,2,1407.0,5.0,6.0,97.0,10.0,14.2,5.7/8.5,249.2,JAC,8,16.0,-5.0,https://www.4for4.com/player/brian-thomas-jr.,7
12,Nico Collins,WR,2,1646.0,0.0,,109.0,10.0,15.1,6.4/9.3,279.1,HOU,6,13.0,-1.0,https://www.4for4.com/player/nico-collins,8
14,A.J. Brown,WR,2,1391.0,0.0,,94.0,9.0,14.8,5.5/8.4,240.1,PHI,9,17.0,-3.0,https://www.4for4.com/player/a.j.-brown,9
16,Ladd McConkey,WR,2,1245.0,0.0,,96.0,10.0,12.9,5.7/7.9,232.7,LAC,12,29.0,-13.0,https://www.4for4.com/player/ladd-mcconkey,10
20,Drake London,WR,3,1367.0,0.0,,104.0,10.0,13.1,6.1/9.6,248.8,ATL,5,21.0,-1.0,https://www.4for4.com/player/drake-london,11
22,Tee Higgins,WR,3,1194.0,0.0,,94.0,10.0,12.7,5.5/8.7,226.4,CIN,10,26.0,-4.0,https://www.4for4.com/player/tee-higgins,12
28,Davante Adams,WR,3,1048.0,0.0,,90.0,9.0,11.7,5.3/8.1,203.5,LAR,8,34.0,-6.0,https://www.4for4.com/player/davante-adams,13
29,Mike Evans,WR,3,1255.0,0.0,,90.0,10.0,13.9,5.3/8.1,230.6,TB,9,40.0,-11.0,https://www.4for4.com/player/mike-evans,14
31,Tyreek Hill,WR,3,1205.0,5.0,9.0,93.0,8.0,12.5,5.5/8.1,215.0,MIA,12,31.0,0.0,https://www.4for4.com/player/tyreek-hill,15
34,Jaxon Smith-Njigba,WR,3,1081.0,5.0,4.0,93.0,8.0,11.4,5.5/8.0,202.6,SEA,8,37.0,-3.0,https://www.4for4.com/player/jaxon-smith-njigba,16
37,Marvin Harrison Jr.,WR,4,1198.0,0.0,,86.0,9.0,14.0,5.0/8.1,216.6,ARI,8,45.0,-8.0,https://www.4for4.com/player/marvin-harrison-jr.,17
39,Tetairoa McMillan,WR,4,1130.0,4.0,6.0,86.0,8.0,12.9,5.0/8.1,203.9,CAR,14,75.0,-36.0,https://www.4for4.com/player/tetairoa-mcmillan,18
40,Xavier Worthy,WR,4,970.0,5.0,19.0,76.0,10.0,11.5,4.5/7.1,195.1,KC,10,50.0,-10.0,https://www.4for4.com/player/xavier-worthy,19
41,Terry Mclaurin,WR,4,1133.0,0.0,,86.0,9.0,13.2,5.0/7.6,210.2,WAS,12,36.0,5.0,https://www.4for4.com/player/terry-mclaurin,20
